Nr,Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients
133,17470862,No," Juan P Wisnivesky, Ethan A Halm",Sex differences in lung cancer survival: do tumors behave differently in elderly women?,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2007 May 1,Outcomes,Human,18967
134,17397890,No," Yahsin Cheng, Pinpin Lin",4-Methoxyestradiol-induced oxidative injuries in human lung epithelial cells.,Toxicology and applied pharmacology,2007 May 1,Pathophysiology,Human,na
135,17397890,No," Yahsin Cheng,",4-Methoxyestradiol-induced oxidative injuries in human lung epithelial cells.,Toxicology and applied pharmacology,2007 May 1,Pathophysiology,Human,n.a.
136,17470862,No," Juan P Wisnivesky,",Sex differences in lung cancer survival: do tumors behave differently in elderly women?,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2007 May 1,Outcomes,Human,18967
137,17508947,No," K Nakatani, T Nobori",Association of epidermal growth factor receptor mutations in lung cancer with chemosensitivity to gefitinib in isolated cancer cells from Japanese patients.,European journal of cancer care,2007 May,Pathophysiology,Human,30
138,17508947,No," K Nakatani,",Association of epidermal growth factor receptor mutations in lung cancer with chemosensitivity to gefitinib in isolated cancer cells from Japanese patients.,European journal of cancer care,2007 May,Pathophysiology,Human,30
139,17365769,No," Assieh A Melikian, Steven D Stellman",Gender differences relative to smoking behavior and emissions of toxins from mainstream cigarette smoke.,Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,2007 Mar,Epidemiology,Human,257
140,17207891,No," Alina Carmen Porojnicu, Johan Moan",Seasonal and geographical variations in lung cancer prognosis in Norway. Does Vitamin D from the sun play a role?,"Lung cancer (Amsterdam, Netherlands)",2007 Mar,Outcomes,Human,15616
141,17207891,No," Alina Carmen Porojnicu,",Seasonal and geographical variations in lung cancer prognosis in Norway. Does Vitamin D from the sun play a role?,"Lung cancer (Amsterdam, Netherlands)",2007 Mar,Epidemiology,Human,15616
142,17586847,No," Masaki Tsuchiya, Shoichiro Tsugane",Breast cancer in first-degree relatives and risk of lung cancer: assessment of the existence of gene sex interactions.,Japanese journal of clinical oncology,2007 Jun,Epidemiology,Human,1566
143,17545840,No," Jacinthe Foeglé, Elisabeth Quoix",Specific features of non-small cell lung cancer in women: a retrospective study of 1738 cases diagnosed in Bas-Rhin between 1982 and 1997.,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,2007 Jun,Epidemiology,Human,1738
144,17545840,No," Jacinthe FoeglÃ©,",Specific features of non-small cell lung cancer in women: a retrospective study of 1738 cases diagnosed in Bas-Rhin between 1982 and 1997.,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,2007 Jun,Epidemiology,Human,1738
145,17586847,No," Masaki Tsuchiya,",Breast cancer in first-degree relatives and risk of lung cancer: assessment of the existence of gene sex interactions.,Japanese journal of clinical oncology,2007 Jun,Clinical,Human,1566
146,17413125,Yes," Sigal Ben-Zaken Cohen, Don D Sin",The growing burden of chronic obstructive pulmonary disease and lung cancer in women: examining sex differences in cigarette smoke metabolism.,American journal of respiratory and critical care medicine,2007 Jul 15,Review,Human,na
147,17413125,Yes," Sigal Ben-Zaken Cohen,",The growing burden of chronic obstructive pulmonary disease and lung cancer in women: examining sex differences in cigarette smoke metabolism.,American journal of respiratory and critical care medicine,2007 Jul 15,Review,Human,n.a.
148,17084482,Yes," Chandra P Belani, Mark A Socinski","Women and lung cancer: epidemiology, tumor biology, and emerging trends in clinical research.","Lung cancer (Amsterdam, Netherlands)",2007 Jan,Review,Human,na
149,17163506,No," Ya-Wen Cheng, Huei Lee",A possible role for dihydrodiol dehydrogenase in the formation of benzo[a]pyrene-DNA adducts in lung cancer cells and tumor tissues.,Environmental and molecular mutagenesis,2007 Jan,Pathophysiology,Human,120
150,17163506,No," Ya-Wen Cheng,",A possible role for dihydrodiol dehydrogenase in the formation of benzo[a]pyrene-DNA adducts in lung cancer cells and tumor tissues.,Environmental and molecular mutagenesis,2007 Jan,Pathophysiology,Human,120
151,17084482,Yes," Chandra P Belani,","Women and lung cancer: epidemiology, tumor biology, and emerging trends in clinical research.","Lung cancer (Amsterdam, Netherlands)",2007 Jan,Review,Human,n.a.
152,17644998,No," Frank Trovato,","From divergence to convergence: the sex differential in life expectancy in Canada, 1971-2000.",The Canadian review of sociology and anthropology. La Revue canadienne de sociologie et d'anthropologie,2007 Feb,Epidemiology,Human,n.a.
153,17306497,No," A Caldarella, E Paci",Gender differences in non-small cell lung cancer: a population-based study.,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,2007 Aug,Epidemiology,Human,2523
154,17306497,No," A Caldarella,",Gender differences in non-small cell lung cancer: a population-based study.,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,2007 Aug,Epidemiology,Human,2262
155,17593472,No," Takeshi Hanagiri, Kosei Yasumoto",Gender difference as a prognostic factor in patients undergoing resection of non-small cell lung cancer.,Surgery today,2007,Outcomes,Human,713
156,16699256,No," Shuji Haraguchi, Kazuo Shimizu",Characteristics of multiple primary malignancies associated with lung cancer by gender.,"Respiration, international review of thoracic diseases",2007,Epidemiology,Human,116
157,17580814,No, H Kesteloot,On the sex ratio of all-cause and disease-specific mortality rates worldwide.,Verhandelingen - Koninklijke Academie voor Geneeskunde van België,2007,Outcomes,Human,na
158,17227578,No," Fabrizio Stracci,",Cancer mortality trends in the Umbria region of Italy 1978-2004: a joinpoint regression analysis.,BMC cancer,2007,Outcomes,Human,n.a.
159,16699256,No," Shuji Haraguchi,",Characteristics of multiple primary malignancies associated with lung cancer by gender.,"Respiration, international review of thoracic diseases",2007,,Human,116
160,17593472,No," Takeshi Hanagiri,",Gender difference as a prognostic factor in patients undergoing resection of non-small cell lung cancer.,Surgery today,2007,Clinical,Human,713
161,17081955,No," Junichi Okamoto, Kazuo Shimizu",Dissimilarity in gene expression profiles of lung adenocarcinoma in Japanese men and women.,Gender medicine : official journal of the Partnership for Gender-Specific Medicine at Columbia University,2006 Sep,Pathophysiology,Human,19
162,17081955,No," Junichi Okamoto,",Dissimilarity in gene expression profiles of lung adenocarcinoma in Japanese men and women.,Gender medicine,2006 Sep,Pathophysiology,Human,19
163,17278410,No," Mitchell D Wong,",The contribution of specific causes of death to sex differences in mortality.,"Public health reports (Washington, D.C. : 1974)",2006 Nov-Dec,Epidemiology,Human,n.a.
164,16678549,No," Neal L Benowitz, Peyton Jacob3rd",Female sex and oral contraceptive use accelerate nicotine metabolism.,Clinical pharmacology and therapeutics,2006 May,Pathophysiology,Human,294
165,16685023,No," Raghu S Loganathan, Ennapadam Venkatraman",Prevalence of COPD in women compared to men around the time of diagnosis of primary lung cancer.,Chest,2006 May,Epidemiology,Human,294
166,16685023,No," Raghu S Loganathan,",Prevalence of COPD in women compared to men around the time of diagnosis of primary lung cancer.,Chest,2006 May,Clinical,Human,294
167,16678549,No," Neal L Benowitz,",Female sex and oral contraceptive use accelerate nicotine metabolism.,Clinical pharmacology and therapeutics,2006 May,Pathophysiology,Human,294
168,16909961,No," Fabrizio Minichilli,",[Mortality in the area around Massa-Carrara 10 years after ANIC-Agricoltura and Farmoplant chemical plants were shut down].,Epidemiologia e prevenzione,2006 Mar-Apr,Epidemiology,Human,n.a.
169,16640805,No," Daniel Vallböhmer, Peter V Danenberg",Sex differences in the predictive power of the molecular prognostic factor HER2/neu in patients with non-small-cell lung cancer.,Clinical lung cancer,2006 Mar,Pathophysiology,Human,90
170,16601283,No," Susan M Dougherty, Carolyn M Klinge",Gender difference in the activity but not expression of estrogen receptors alpha and beta in human lung adenocarcinoma cells.,Endocrine-related cancer,2006 Mar,Pathophysiology,Human,na
171,16465416,No," Janna Sand Dejmek, Annika Dejmek",The reactivity to CK5/6 antibody in tumor cells from non-small cell lung cancers shed into pleural effusions predicts survival.,Oncology reports,2006 Mar,Pathophysiology,Human,18
172,16465416,No," Janna Sand Dejmek,",The reactivity to CK5/6 antibody in tumor cells from non-small cell lung cancers shed into pleural effusions predicts survival.,Oncology reports,2006 Mar,Pathophysiology,Human,18
173,16601283,No," Susan M Dougherty,",Gender difference in the activity but not expression of estrogen receptors alpha and beta in human lung adenocarcinoma cells.,Endocrine-related cancer,2006 Mar,Pathophysiology,Human,n.a.
174,16640805,No," Daniel VallbÃ¶hmer,",Sex differences in the predictive power of the molecular prognostic factor HER2/neu in patients with non-small-cell lung cancer.,Clinical lung cancer,2006 Mar,Clinical,Human,90
175,17176935,No," Valeria Fano,","[Mortality and hospital admissions in the industrial area of Civitavecchia, 1997-2004].",Epidemiologia e prevenzione,2006 Jul-Oct,Epidemiology,Human,n.a.
176,17254523,Yes," Angela M Coscio, Jennifer Garst",Lung cancer in women.,Current oncology reports,2006 Jul,Review,Human,na
177,17254523,Yes," Angela M Coscio,",Lung cancer in women.,Current oncology reports,2006 Jul,Review,Human,n.a.
178,16870042,Yes," Jessica S Donington,","Lung cancer in women: exploring sex differences in susceptibility, biology, and therapeutic response.",Clinical lung cancer,2006 Jul,Review,Human,n.a.
179,16428492,No," Randolph H Hastings, Leonard J Deftos",Sex-specific survival advantage with parathyroid hormone-related protein in non-small cell lung carcinoma patients.,Clinical cancer research : an official journal of the American Association for Cancer Research,2006 Jan 15,Outcomes,Human,407
180,16428492,No," Randolph H Hastings,",Sex-specific survival advantage with parathyroid hormone-related protein in non-small cell lung carcinoma patients.,Clinical cancer research : an official journal of the American Association for Cancer Research,2006 Jan 15,Pathophysiology,Human,407
181,17166999,No," Robert James Cerfolio, Robert I Garver","Women with pathologic stage I, II, and III non-small cell lung cancer have better survival than men.",Chest,2006 Dec,Outcomes,Human,1085
182,17166999,No," Robert James Cerfolio,","Women with pathologic stage I, II, and III non-small cell lung cancer have better survival than men.",Chest,2006 Dec,Outcomes,Human,1085
183,17582369,Yes," Lisa Mucha,","Meta-analysis of disease risk associated with smoking, by gender and intensity of smoking.",Gender medicine,2006 Dec,Review,Human,n.a.
184,16557573,No," Steen Mollerup, Aage Haugen",Sex differences in risk of lung cancer: Expression of genes in the PAH bioactivation pathway in relation to smoking and bulky DNA adducts.,International journal of cancer. Journal international du cancer,2006 Aug 15,Pathophysiology,Human,121
185,16557573,No," Steen Mollerup,",Sex differences in risk of lung cancer: Expression of genes in the PAH bioactivation pathway in relation to smoking and bulky DNA adducts.,International journal of cancer. Journal international du cancer,2006 Aug 15,Pathophysiology,Human,121
186,16243798,No," Ann G Schwartz, Sam Brooks",Nuclear estrogen receptor beta in lung cancer: expression and survival differences by sex.,Clinical cancer research : an official journal of the American Association for Cancer Research,2005 Oct 15,Pathophysiology,Human,288
187,16243798,No," Ann G Schwartz,",Nuclear estrogen receptor beta in lung cancer: expression and survival differences by sex.,Clinical cancer research : an official journal of the American Association for Cancer Research,2005 Oct 15,Pathophysiology,Human,288
188,15906356,No," Kenji Shibuya, Alan D Lopez",Statistical modeling and projections of lung cancer mortality in 4 industrialized countries.,International journal of cancer. Journal international du cancer,2005 Nov 10,Epidemiology,Human,na
189,15906356,No," Kenji Shibuya,",Statistical modeling and projections of lung cancer mortality in 4 industrialized countries.,International journal of cancer. Journal international du cancer,2005 Nov 10,Outcomes,Human,n.a.
190,15764756,No," Jennifer B Fu, Gregory P Kalemkerian","Lung cancer in women: analysis of the national Surveillance, Epidemiology, and End Results database.",Chest,2005 Mar,Epidemiology,Human,228572
191,15764756,No," Jennifer B Fu,","Lung cancer in women: analysis of the national Surveillance, Epidemiology, and End Results database.",Chest,2005 Mar,Epidemiology,Human,228572
192,15941959,No," Qiuling Shi, Qingyi Wei",Sex differences in risk of lung cancer associated with methylene-tetrahydrofolate reductase polymorphisms.,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",2005 Jun,Pathophysiology,Human,2192
193,15941959,No," Qiuling Shi,",Sex differences in risk of lung cancer associated with methylene-tetrahydrofolate reductase polymorphisms.,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",2005 Jun,Pathophysiology,Human,2192
194,16024650,No," Hironori Ishibashi, Hironobu Sasano",Progesterone receptor in non-small cell lung cancer--a potent prognostic factor and possible target for endocrine therapy.,Cancer research,2005 Jul 15,Pathophysiology,Human,228
195,16024650,No," Hironori Ishibashi,",Progesterone receptor in non-small cell lung cancer--a potent prognostic factor and possible target for endocrine therapy.,Cancer research,2005 Jul 15,Pathophysiology,",Human, Mouse",228
196,15668500,No," Laverne A Mooney,",Antioxidant vitamin supplementation reduces benzo(a)pyrene-DNA adducts and potential cancer risk in female smokers.,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",2005 Jan,Management,Human,n.a.
197,15681530,No," Simron Singh, Frances A Shepherd",Influence of sex on toxicity and treatment outcome in small-cell lung cancer.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2005 Feb 1,Management,Human,1006
198,15681530,No," Simron Singh,",Influence of sex on toxicity and treatment outcome in small-cell lung cancer.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2005 Feb 1,Management,Human,1006
199,15709185,No," Masaki Tokumo,",The relationship between epidermal growth factor receptor mutations and clinicopathologic features in non-small cell lung cancers.,Clinical cancer research : an official journal of the American Association for Cancer Research,2005 Feb 1,Pathophysiology,Human,120
200,15986439,No," Ji-Ching Lai, Huei Lee",Gender difference in estrogen receptor alpha promoter hypermethylation and its prognostic value in non-small cell lung cancer.,International journal of cancer. Journal international du cancer,2005 Dec 20,Pathophysiology,Human,123
201,15986439,No," Ji-Ching Lai,",Gender difference in estrogen receptor alpha promoter hypermethylation and its prognostic value in non-small cell lung cancer.,International journal of cancer. Journal international du cancer,2005 Dec 20,Pathophysiology,Human,123
202,15824188,No," Aizen J Marrogi,",TP53 mutation spectrum in lung cancer is not different in women and men.,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",2005 Apr,Pathophysiology,Human,103
203,16291523,Yes," Mihi Yang, Myung-Yun Pyo",Molecular epidemiology of lung cancer in female passive smokers.,"Journal of environmental science and health. Part C, Environmental carcinogenesis & ecotoxicology reviews",2005,Review,Human,na
204,16291523,Yes," Mihi Yang,",Molecular epidemiology of lung cancer in female passive smokers.,"Journal of environmental science and health. Part C, Environmental carcinogenesis & ecotoxicology reviews",2005,Review,Human,n.a.
205,16151580,No," V HabalovÃ¡,",A pilot study testing the genetic polymorphism of N-acetyltransferase 2 as a risk factor in lung cancer.,Neoplasma,2005,Pathophysiology,Human,277
206,15301869,No," Gisle Berge, Aage Haugen",Role of estrogen receptor in regulation of polycyclic aromatic hydrocarbon metabolic activation in lung.,"Lung cancer (Amsterdam, Netherlands)",2004 Sep,Pathophysiology,Human,na
207,15301869,No," Gisle Berge,",Role of estrogen receptor in regulation of polycyclic aromatic hydrocarbon metabolic activation in lung.,"Lung cancer (Amsterdam, Netherlands)",2004 Sep,Pathophysiology,"Human, Mouse",n.a.
208,15474664,No," Ya-Wen Cheng, Huei Lee",Gender difference in human papillomarvirus infection for non-small cell lung cancer in Taiwan.,"Lung cancer (Amsterdam, Netherlands)",2004 Nov,Epidemiology,Human,201
209,15474664,No," Ya-Wen Cheng,",Gender difference in human papillomarvirus infection for non-small cell lung cancer in Taiwan.,"Lung cancer (Amsterdam, Netherlands)",2004 Nov,Pathophysiology,Human,201
210,15187053,No," Vivek H Murthy, Cary P Gross","Participation in cancer clinical trials: race-, sex-, and age-based disparities.",JAMA : the journal of the American Medical Association,2004 Jun 9,Management,Human,na
211,15173266,No," Chris Bain, Graham A Colditz",Lung cancer rates in men and women with comparable histories of smoking.,Journal of the National Cancer Institute,2004 Jun 2,Epidemiology,Human,85693
212,15173266,Yes," Chris Bain,",Lung cancer rates in men and women with comparable histories of smoking.,Journal of the National Cancer Institute,2004 Jun 2,Review,Human,85693
213,15099898,Yes," M Patricia Rivera, Diane E Stover",Gender and lung cancer.,Clinics in chest medicine,2004 Jun,Review,Human,na
214,15099898,Yes," M Patricia Rivera,",Gender and lung cancer.,Clinics in chest medicine,2004 Jun,Review,Human,n.a.
215,15223430,No," Antonio L Visbal, Ping Yang","Gender differences in non-small-cell lung cancer survival: an analysis of 4,618 patients diagnosed between 1997 and 2002.",The Annals of thoracic surgery,2004 Jul,Outcomes,Human,4618
216,15223430,No," Antonio L Visbal,","Gender differences in non-small-cell lung cancer survival: an analysis of 4,618 patients diagnosed between 1997 and 2002.",The Annals of thoracic surgery,2004 Jul,Outcomes,Human,4618
217,15006274,No," Neely Kazerouni, David M Mannino","Sex differences in COPD and lung cancer mortality trends--United States, 1968-1999.",Journal of women's health (2002),2004 Jan-Feb,Outcomes,Human,na
218,15006274,No," Neely Kazerouni,","Sex differences in COPD and lung cancer mortality trends--United States, 1968-1999.",Journal of women's health (2002),2004 Jan-Feb,Epidemiology,Human,n.a.
219,16115582,No," José M Chatkin, Jose A L F Pinto",Is there a gender difference in non-small cell lung cancer survival?,Gender medicine : official journal of the Partnership for Gender-Specific Medicine at Columbia University,2004 Aug,Outcomes,Human,253
220,15246184,No," Joseph S K Au, Stephen C K Law",Time trends of lung cancer incidence by histologic types and smoking prevalence in Hong Kong 1983-2000.,"Lung cancer (Amsterdam, Netherlands)",2004 Aug,Epidemiology,Human,na
221,15246184,No," Joseph S K Au,",Time trends of lung cancer incidence by histologic types and smoking prevalence in Hong Kong 1983-2000.,"Lung cancer (Amsterdam, Netherlands)",2004 Aug,Epidemiology,Human,n.a.
222,16115582,No," JosÃ© M Chatkin,",Is there a gender difference in non-small cell lung cancer survival?,Gender medicine,2004 Aug,Outcomes,Human,248
223,15068321,No," Rhonda Moore, Fadlo Khuri",Sex differences in survival in non-small cell lung cancer patients 1974-1998.,"Acta oncologica (Stockholm, Sweden)",2004,Outcomes,Human,7553
224,15068321,No," Rhonda Moore,",Sex differences in survival in non-small cell lung cancer patients 1974-1998.,"Acta oncologica (Stockholm, Sweden)",2004,Outcomes,Human,7553
225,12966419,No," S P Blagden, D Gilligan",Performance status score: do patients and their oncologists agree?,British journal of cancer,2003 Sep 15,Management,Human,101
226,12968194,Yes," Cynthia F Caracta,",Gender differences in pulmonary disease.,"The Mount Sinai journal of medicine, New York",2003 Sep,Review,Human,n.a.
227,12920623,No," N Sarhill, L Rybicki",Evaluation of nutritional status in advanced metastatic cancer.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,2003 Oct,Management,Human,352
228,14516379,No," M N Harvie,",Changes in body composition in men and women with advanced nonsmall cell lung cancer (NSCLC) undergoing chemotherapy.,Journal of human nutrition and dietetics : the official journal of the British Dietetic Association,2003 Oct,Management,Human,21
229,14515059,No," Heike Dally,",The CYP3A4*1B allele increases risk for small cell lung cancer: effect of gender and smoking dose.,Pharmacogenetics,2003 Oct,Pathophysiology,Human,801
230,12920623,No," N Sarhill,",Evaluation of nutritional status in advanced metastatic cancer.,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,2003 Oct,Clinical,Human,352
231,14568681,No," Bertrand Mennecier, Elisabeth Quoix","Women and small cell lung cancer: social characteristics, medical history, management and survival: a retrospective study of all the male and female cases diagnosed in Bas-Rhin (Eastern France) between 1981 and 1994.","Lung cancer (Amsterdam, Netherlands)",2003 Nov,Epidemiology,Human,787
232,14587096,No," Heike Bernert, Alvin M Malkinson",Tnfa and Il-10 deficiencies have contrasting effects on lung tumor susceptibility: gender-dependent modulation of IL-10 haploinsufficiency.,Molecular carcinogenesis,2003 Nov,Pathophysiology,Mouse,129
233,14587096,No," Heike Bernert,",Tnfa and Il-10 deficiencies have contrasting effects on lung tumor susceptibility: gender-dependent modulation of IL-10 haploinsufficiency.,Molecular carcinogenesis,2003 Nov,Pathophysiology,Mouse,n.a.
234,14568681,No," Bertrand Mennecier,","Women and small cell lung cancer: social characteristics, medical history, management and survival: a retrospective study of all the male and female cases diagnosed in Bas-Rhin (Eastern France) between 1981 and 1994.","Lung cancer (Amsterdam, Netherlands)",2003 Nov,Epidemiology,Human,967
235,14685633,No," E Teixeira, B Parente",Lung cancer and women,Revista portuguesa de pneumologia,2003 May-Jun,Epidemiology,Human,na
236,14685633,No," E Teixeira,",[Lung cancer and women].,Revista portuguesa de pneumologia,2003 May-Jun,Review,Human,n.a.
237,12672038,No," Ahmedin Jemal, Susan S Devesa",Lung cancer rates convergence in young men and women in the United States: analysis by birth cohort and histologic type.,International journal of cancer. Journal international du cancer,2003 May 20,Epidemiology,Human,na
238,12672039,No," Kamila Czene,",Cancer risks in hairdressers: assessment of carcinogenicity of hair dyes and gels.,International journal of cancer. Journal international du cancer,2003 May 20,Epidemiology,Human,38866
239,12672038,No," Ahmedin Jemal,",Lung cancer rates convergence in young men and women in the United States: analysis by birth cohort and histologic type.,International journal of cancer. Journal international du cancer,2003 May 20,Epidemiology,Human,n.a.
240,12619108,Yes," Shinichi Toyooka, Adi F Gazdar","The TP53 gene, tobacco exposure, and lung cancer.",Human mutation,2003 Mar,Review,Human,na
241,12619108,Yes," Shinichi Toyooka,","The TP53 gene, tobacco exposure, and lung cancer.",Human mutation,2003 Mar,Review,Human,n.a.
242,12784345,No," Alice J Sigurdson,","Cancer incidence in the US radiologic technologists health study, 1983-1998.",Cancer,2003 Jun 15,Epidemiology,Human,90305
243,12914365,No," H Kutlay, S Yavuzer",Female and male differences in the survival of patients undergoing resection for lung cancer.,Acta chirurgica Belgica,2003 Jun,Epidemiology,Human,572
244,12914365,No," H Kutlay,",Female and male differences in the survival of patients undergoing resection for lung cancer.,Acta chirurgica Belgica,2003 Jun,Outcomes,Human,572
245,12455028,No," Shinichi Toyooka, Adi F Gazdar","Smoke exposure, histologic type and geography-related differences in the methylation profiles of non-small cell lung cancer.",International journal of cancer. Journal international du cancer,2003 Jan 10,Pathophysiology,Human,598
246,12455028,No," Shinichi Toyooka,","Smoke exposure, histologic type and geography-related differences in the methylation profiles of non-small cell lung cancer.",International journal of cancer. Journal international du cancer,2003 Jan 10,Clinical,Human,598
247,12647513,No, Fred C Pampel,Declining sex differences in mortality from lung cancer in high-income nations.,Demography,2003 Feb,Outcomes,Human,na
248,12647513,Yes," Fred C Pampel,",Declining sex differences in mortality from lung cancer in high-income nations.,Demography,2003 Feb,Review,Human,n.a.
249,14719614,No," Barbara P Yawn, Minesh Mehta",Temporal and gender-related trends in brain metastases from lung and breast cancer.,Minnesota medicine,2003 Dec,Outcomes,Human,na
250,14644511,No," Lene Dreyer,",Association between atherosclerosis and female lung cancer--a Danish cohort study.,"Lung cancer (Amsterdam, Netherlands)",2003 Dec,Epidemiology,Human,2261
251,14719614,No," Barbara P Yawn,",Temporal and gender-related trends in brain metastases from lung and breast cancer.,Minnesota medicine,2003 Dec,Outcomes,Human,n.a.
252,16382814,Yes," Frank Trovato,","A divergent pattern of the sex difference in life expectancy: Sweden and Japan, early 1970s-late 1990s.",Social biology,2003 Autumn-Winter,Review,Human,n.a.
253,12714547,No," Michaela Kreuzer, H-Erich Wichmann",Hormonal factors and risk of lung cancer among women?,International journal of epidemiology,2003 Apr,Epidemiology,Human,1723
254,12714547,No," Michaela Kreuzer,",Hormonal factors and risk of lung cancer among women?,International journal of epidemiology,2003 Apr,Clinical,Human,1723
255,12661176,Yes," Laura P Stabile, Jill M Siegfried",Sex and gender differences in lung cancer.,The journal of gender-specific medicine : JGSM : the official journal of the Partnership for Women's Health at Columbia,2003,Review,Human,na
256,12661176,Yes," Laura P Stabile,",Sex and gender differences in lung cancer.,The journal of gender-specific medicine : JGSM : the official journal of the Partnership for Women's Health at Columbia,2003,Review,Human,n.a.
257,12020974,Yes," J C Huber, C B Tempfer",Genetic modelling of the estrogen metabolism as a risk factor of hormone-dependent disorders.,Maturitas,2002 May 20,Review,Human,na
258,12085215,No," Z M Prijovich, S R Roffler",Anti-tumour activity and toxicity of the new prodrug 9-aminocamptothecin glucuronide (9ACG) in mice.,British journal of cancer,2002 May 20,Management,Mouse/Human,na
259,12020974,Yes," J C Huber,",Genetic modelling of the estrogen metabolism as a risk factor of hormone-dependent disorders.,Maturitas,2002 May 20,Review,Human,n.a.
260,12055044,No," John K Wiencke, Karl T Kelsey","Teen smoking, field cancerization, and a ""critical period"" hypothesis for lung cancer susceptibility.",Environmental health perspectives,2002 Jun,Pathophysiology,Human,na
261,12055044,No," John K Wiencke,","Teen smoking, field cancerization, and a ""critical period"" hypothesis for lung cancer susceptibility.",Environmental health perspectives,2002 Jun,Review,Human,n.a.
262,11911952,No," Michael J Fasco, Simon D Spivack",Gender-dependent expression of alpha and beta estrogen receptors in human nontumor and tumor lung tissue.,Molecular and cellular endocrinology,2002 Feb 25,Pathophysiology,Human,26
263,11911952,No," Michael J Fasco,",Gender-dependent expression of alpha and beta estrogen receptors in human nontumor and tumor lung tissue.,Molecular and cellular endocrinology,2002 Feb 25,Pathophysiology,Human,26
264,11955795,Yes," J C Huber, C B Tempfer",Genetic modeling of estrogen metabolism as a risk factor of hormone-dependent disorders.,Maturitas,2002 Apr 15,Review,Human,na
265,11955795,Yes," J C Huber,",Genetic modeling of estrogen metabolism as a risk factor of hormone-dependent disorders.,Maturitas,2002 Apr 15,Review,Human,n.a.
266,11986594,No," Harold M Burkhart, Peter C Pairolero",Results of en bloc resection for bronchogenic carcinoma with chest wall invasion.,The Journal of thoracic and cardiovascular surgery,2002 Apr,Outcomes,Human,95
267,11986594,No," Harold M Burkhart,",Results of en bloc resection for bronchogenic carcinoma with chest wall invasion.,The Journal of thoracic and cardiovascular surgery,2002 Apr,Outcomes,Human,94
268,11696868,Yes," P N Lee,",Lung cancer and type of cigarette smoked.,Inhalation toxicology,2001 Nov,Review,Human,n.a.
269,11456224,No," C H Le,",The heterogeneity in risk factors of lung cancer and the difference of histologic distribution between genders in Taiwan.,Cancer causes & control : CCC,2001 May,Clinical,Human,527
270,11401914,No," L A Mooney, K Frenkel",Gender differences in autoantibodies to oxidative DNA base damage in cigarette smokers.,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",2001 Jun,Pathophysiology,Human,140
271,11432709,No," X Li,","Gender-specific incidence trends in lung cancer by histological type in Sweden, 1958-1996.",European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP),2001 Jun,Epidemiology,Human,45297
272,11401914,No," L A Mooney,",Gender differences in autoantibodies to oxidative DNA base damage in cigarette smokers.,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",2001 Jun,Pathophysiology,Human,140
273,11444848,No," Y Omoto, S I Hayashi","Expression, function, and clinical implications of the estrogen receptor beta in human lung cancers.",Biochemical and biophysical research communications,2001 Jul 13,Pathophysiology,Human,na
274,11444848,No," Y Omoto,","Expression, function, and clinical implications of the estrogen receptor beta in human lung cancers.",Biochemical and biophysical research communications,2001 Jul 13,Pathophysiology,Human,n.a.
275,11511603,No," P J Marang-van de Mheen, D J Hole",Are women more sensitive to smoking than men? Findings from the Renfrew and Paisley study.,International journal of epidemiology,2001 Aug,Outcomes,Human,na
276,11519762,No," G Myrdal,",Trends in lung cancer incidence in Sweden with special reference to period and birth cohorts.,Cancer causes & control : CCC,2001 Aug,Epidemiology,Human,n.a.
277,11511603,No," P J Marang-van de Mheen,",Are women more sensitive to smoking than men? Findings from the Renfrew and Paisley study.,International journal of epidemiology,2001 Aug,Outcomes,Human,n.a.
278,11238578,No," J Benach,",Material deprivation and leading causes of death by gender: evidence from a nationwide small area study.,Journal of epidemiology and community health,2001 Apr,Epidemiology,Human,n.a.
279,11424180,No," Y W Cheng, H Lee",Gender difference in DNA adduct levels among nonsmoking lung cancer patients.,Environmental and molecular mutagenesis,2001,Pathophysiology,Human,82
