Class	Subject	abstract
Stroke	Outcomes	"Many studies have reported poorer stroke outcomes in women, and some studies have reported sex differences in care. We analyzed data from a hospital-based stroke registry to determine whether acute stroke care and discharge status differed by sex.Detailed chart-level information was collected on 2566 subjects admitted for acute stroke or transient ischemic attack to 15 Michigan hospitals in 2002. Sex differences in stroke care and patient status at discharge (in-hospital mortality and modified Rankin Scale score) were assessed after adjusting for differences in demographics, clinical characteristics, and comorbidities by multivariable models. Modified Rankin Scale score data were analyzed by proportional-odds models.Women were older than men (70 vs 67 years) and were more likely to have congestive heart failure and hypertension. Men were more likely to smoke and have a history of heart disease and dyslipidemia. After multivariable adjustment, women were less likely to receive thrombolytic therapy (odds ratio [OR]=0.56; 95% CI, 0.37 to 0.86) or lipid testing (OR=0.76; 95% CI, 0.61 to 0.94) and were more likely to suffer urinary tract infections (OR=2.57; 95% CI, 1.87 to 3.54). In-hospital mortality was similar in women and men (9% vs 8%); however, women had poorer discharge modified Rankin Scale scores (OR=1.17; 95% CI, 1.01 to 1.35).Although considerable parity exists in many aspects of acute stroke care, women were less likely than men to receive thrombolytic treatment and lipid testing, even after adjustment. However, given the largely similar care observed, it is unlikely that differences in care explain the poorer functional outcomes in female stroke survivors."
Stroke	Review	"Using data from Oxfordshire, UK, we recently showed that women are more likely than men to have a family history of stroke in female versus male first degree relatives. To test the generalizability of this finding, we did a comprehensive systematic review of all available published and unpublished data.Studies were included in the present review if they reported the frequency of family history of stroke in relation to sex of parent or proband. Where necessary, we contacted authors of studies to obtain unpublished data. Data from the Oxford Vascular Study (OXVASC) and 3 other Oxford cohorts (1925 patients) were secondarily pooled with the data from other studies.We obtained data from 18 studies (7941 patients), including unpublished data from 7 studies. Female probands were slightly more likely to have a parental history of stroke than male probands (pooled OR=1.15; 95% CI: 1.03 to 1.29; P((sig))=0.028; P((het))=0.45). Maternal history of stroke was more common than paternal history (pooled OR=1.25; 1.15 to 1.37; P((sig))<0.00001; P((het))=0.12). However, the maternal excess was only present in female probands (pooled OR=1.47; 1.27 to 1.70; P((sig))<0.00001; P((het))=0.11). In contrast, male probands were no more likely to have maternal than paternal history of stroke (pooled OR=1.02; 0.88 to 1.17, P((sig))=0.43; P((het))=0.09).Women with stroke are more likely than men to have a parental history of stroke, which is accounted for by an excess maternal history of stroke. This finding could be explained by sex-specific genetic, epigenetic, or nongenetic mechanisms."
Stroke	Review	"Stroke is a major public health problem. The female population carries a higher stroke burden than the male population, both because females have a longer life expectancy and because most stroke deaths occur in women. Differences between the sexes in relation to stroke are increasingly being recognized; for example, among stroke survivors, women tend to have worse outcomes than men, as indicated by more-severe disability and an increased likelihood of institutionalization in women. Women and men with stroke also differ in their risk factor profiles, and they respond differently to primary-prevention and acute stroke treatment. Women experience variations in endogenous estrogens throughout their life cycle and might also be exposed to exogenous estrogens, both of which markedly affect the brain. An understanding of the effects of endogenous and exogenous estrogens on cerebral hemodynamics could guide research into explaining how hormone therapy increases the risk of stroke in postmenopausal women. This Review summarizes the sex differences related to stroke, and the effect of endogenous and exogenous hormones on the cerebrovasculature of the female brain. It also proposes potential research approaches, the results of which could fill in gaps in our knowledge regarding the mechanism of action of estrogen in the brain."
Stroke	Epidemiology	"Gender differences in cardiovascular diseases (CVD) among the Sami have been reported previously. The aim of the present study was to investigate the incidence of and mortality from stroke, subarachnoid haemorrhage (SAH), and acute myocardial infarction (AMI) in the Swedish Sami population between 1985 and 2002, and to analyse the potential impact of income and level of education on cardiovascular morbidity and mortality.A Sami cohort of 15,914 persons (4,465 reindeer herding and 11,449 non-herding Sami) were followed up from 1985 to 2002 with regard to incidence and mortality rates of AMI, stroke, and SAH. Incidence and mortality ratios were calculated using a demographically matched non-Sami control population (DMC) as the standard (71,550 persons).There was no elevated risk of developing AMI among the Sami compared with the DMC. However, the mortality ratio of AMI was significantly higher for Sami women. Higher incidence rates of stroke and SAH for both Sami men and women was observed, but no differences in mortality rates. Apart from the reindeer-herding men who demonstrated lower levels of income and education, the income and education levels among Sami were similar to the DMC.High mortality rates from AMI rather than stroke explain the excess mortality for CVD previously shown among Sami women. The results suggest that the differences in incidence of stroke between herding and non-herding Sami men, and between Sami women and non-Sami women, are caused by behavioural and psychosocial risk factors rather than by traditional socioeconomic ones."
Stroke	Pathophysiology	"Women are less susceptible to the cerebrovascular complications of hypertension, such as a stroke and vascular dementia. The mechanism of such protection may be related to a reduced vulnerability of women to the cerebrovascular actions of hypertension. To test this hypothesis, we used a model of hypertension based on infusion of angiotensin II (ANG II), an octapeptide that plays a key role in hypertension and produces cerebrovascular dysregulation. Cerebral blood flow (CBF) was monitored by laser-Doppler flowmetry in anesthetized (urethane-chloralose) C57BL/6J male and female mice equipped with a cranial window. ANG II administration (0.25 mug.kg(-1).min(-1) iv x 30-45 min) elevated arterial pressure equally in both sexes but attenuated the CBF increase induced by whisker stimulation or by the endothelium-dependent vasodilator acetylcholine (ACh) in male but not in female mice. The administration of ANG II for 7 days (2.74 mg.kg(-1).day(-1)), using osmotic minipumps, also attenuated these cerebrovascular responses in male, but not female, mice. The reduced susceptibility to the effect of ANG II in female mice was abolished by ovariectomy and reinstated by estrogen administration to ovariectomized mice. Administration of estrogen to male mice abolished the ANG II-induced attenuation of CBF responses. We conclude that female mice are less susceptible to the cerebrovascular dysregulation induced by ANG II, an effect related to estrogen. Such protection from the deleterious cerebrovascular effects of hypertension may play a role in the reduced vulnerability to the cerebrovascular complications of hypertension observed in women."
Stroke	Epidemiology	"This study estimated the risk of incident stroke according to the level of job control and examined whether the association between job control and the risk of stroke varied as a function of gender.This was a register-based cohort study of nearly 3 million working people (age 30-64 years in 1990) with a 13-year follow-up (1991-2003) for incident stroke (50 114 events). Job control was aggregated to the data by a secondary data source (job-exposure matrix) in 1990. Gender-specific Cox regressions were applied.The age- and workhour-adjusted hazard ratio of the lowest versus the highest job control quartile was 1.25 [95% confidence interval (95% CI) 1.17-1.32] for any stroke, 1.33 (95% CI 1.15-1.55) for intracerebral hemorrhage, and 1.22 (95% CI 1.14-1.31) for brain infarction among the women, and the corresponding figures for the men were 1.24 (95% CI 1.21-1.28), 1.30 (95% CI 1.21-1.40), 1.23 (95% CI 1.19-1.28), respectively. Adjustment for education, marital status, and income attenuated these associations to 1.07 (95% CI 1.01-1.14) for any stroke, 1.22 (95% CI 1.04-1.42) for intracerebral hemorrhage, and 1.04 (95% CI 0.97-1.12) for brain infarction for the women and to 1.08 (95% CI 1.04-1.12), 1.12 (95% CI 1.03-1.22), 1.08 (95% CI 1.04-1.13), respectively, for the men.The relative risk of stroke was higher in low job-control occupations. The association between job control and stroke subtypes varied as a function of gender. The relative risk of intracerebral hemorrhage was highest for the women in low job-control occupations."
Stroke	Pathophysiology	"Aquaporin-4 (AQP4) has been shown to be important in the evolution of stroke-associated cerebral edema. However, the role of AQP4 in stroke-associated cerebral edema as it pertains to sex has not been previously studied. The perivascular pool of AQP4 is important in the influx and efflux of water during focal cerebral ischemia. We used mice with targeted disruption of the gene encoding alpha-syntrophin (alpha-Syn(-/-)) that lack the perivascular AQP4 pool but retain the endothelial pool of this protein. Infarct volume at 72 h after transient focal ischemia (90 mins) in isoflurane-anesthetized mice was attenuated in both sexes with alpha-Syn deletion as compared with their wild-type (WT) counterparts. There were no sex differences in hemispheric water content in WT and alpha-Syn(-/-) mice or regional AQP4 expression in WT mice. In neither sex did alpha-Syn deletion lead to alterations in end-ischemic regional cerebral blood flow (rCBF). These data suggest that after experimental stroke: (1) there is no difference in stroke-associated cerebral edema based on sex, (2) AQP4 does not involve in sex-based differences in stroke volume, and (3) perivascular pool of AQP4 has no significant role in end-ischemic rCBF."
Stroke	Outcomes	"The prevalence of stroke in elderly patients has been increasing in recent years. However, limited information is available about the burden of stroke in individuals over 80. We sought to evaluate differences in clinical outcomes in Canadians over 80 years old hospitalized for an acute ischemic stroke.The authors conducted a multicenter cohort study including all hospital admissions for ischemic stroke identified from the Canadian Hospital Morbidity and Mortality Database from April 2003 to March 2004. The Hospital Morbidity and Mortality Database contains a national database that contains patient-level sociodemographic, diagnostic, procedural, and administrative information from across Canada. Multivariable analysis was performed using logistic regression. The primary outcome was 7-day case fatality and fatality at discharge. Secondary end points included intensive care unit admissions, medical complications, gender differences, length of hospital stay, and discharge disposition.We analyzed 26,676 patients with ischemic stroke admitted to 606 hospitals across Canada. Mean age (SD) was 74+/-13 years. Overall, 10,171 (38%) were aged 80 years or older. Case fatality at discharge was 5.7% (age < 59), 8.6% (age 60 to 69), 13.4% (age 70 to 79), and 24.2% (age > or = 80; P<0.001). Patients aged 80 and over were less likely to be admitted to the intensive care unit (7.7% versus 15.3%; P<0.001) and discharged to their prestroke residence (47.2% for those over 80 versus 61.6% for patients younger than 80; P<0.001). Median length of stay was longer in those over 80 (10 days versus 7 days; P<0.0001). In the multivariable analysis for the older group, admission to the intensive care unit, low socioeconomic status, and admission to a nonacademic institution were associated with increased fatality after adjusting for covariates.Aging of the population is a growing reality in Western societies and this translates into an increasing demand on healthcare systems. In our study, patients with stroke over 80 had higher risk-adjusted fatality, longer hospitalization, and were less likely to be discharged to their original place of residence. Strategies need to be implemented to facilitate equal access to specialized stroke care for the elderly."
Stroke	Outcomes	"Studies suggest that women with stroke are investigated less aggressively and receive tissue plasminogen activator less frequently than men. We tested whether gender differences in the investigation, treatment, and outcome of stroke are due to confounding factors.Gender differences in the use of investigations, trial enrollment, treatment with intravenous tissue plasminogen activator, and in-hospital outcomes were examined in data from our prospective registry using multivariate analysis to adjust for age, prestroke functional status, stroke subtype and severity, and atrial fibrillation.Of 2725 consecutive hospitalized patients (1996 to 2006), 88% had ischemic stroke and 48% were women. Women were older (median age, 77 versus 70 years), had more severe strokes, and were less likely to be independent prestroke (78% versus 87%) compared with men (all P<0.001). The proportion of women, but not men, aged >or=80 years, increased significantly between 1996 to 1997 and 2005 to 2006. After adjustment for confounding, women were less likely to have infratentorial strokes (OR, 0.78; 95% CI, 0.62 to 0.97), be able to walk unaided on admission (OR, 0.69; 95% CI, 0.54 to 0.87), be treated with tissue plasminogen activator (OR, 0.51; 95% CI, 0.35 to 0.72), experience pneumonia (OR, 0.38; 95% CI, 0.26 to 0.55), achieve a discharge Barthel Index of >or=95 (OR, 0.75; 95% CI, 0.61 to 0.94, and were more likely to experience a urinary tract infection (OR, 2.06; 95% CI, 1.61 to 2.64). There was no gender difference in adjusted use of investigations.The majority of the gender differences in stroke were explained by confounding. More research is required to understand gender differences in stroke pathophysiology and the utilization of thrombolytic therapy."
Stroke	Outcomes	"The main purpose of this study was to test whether the impact of job control on stroke mortality is independent of socioeconomic factors.This was a register-based cohort study of nearly 3.5 million working people (25 to 64 years of age in the 1990 Swedish Census) with a 5-year follow-up for stroke mortality. Job control was aggregated to the data from a secondary data source (job exposure matrix). Gender-specific Poisson regressions were performed.Compared with high job control occupations, low job control was significantly related to hemorrhagic (relative risk, 1.54; 95% CI, 1.10 to 2.17) and all-stroke mortality (relative risk, 1.50; 95% CI, 1.11 to 2.03) in women but not in men. The significance of job control in women was independent of all confounders included (marital status, education level, and occupational class). Class-specific analyses indicated a consistent effect of job control for most classes (significant for female lower nonmanuals). However, low job control did not increase the risk of stroke mortality in upper nonmanuals.Job control was significantly related to hemorrhagic and all-stroke mortality in women but not in men."
Stroke	Review	"Increasing evidence suggests that sex differences exist in the etiology, presentation, treatment, and outcome from stroke. The reasons for these sex disparities are becoming increasingly explored, but large gaps still exist in our knowledge. Experimental studies over the past several years have demonstrated intrinsic sex differences both in vivo and in animal models which may have relevance to our understanding of stroke in clinical populations. A greater understanding of the differences and similarities between males and females with respect to the risk factors, pathophysiology, and response to stroke will facilitate the design of future clinical trials and enhance the development of treatment strategies to improve stroke care in both sexes. This article reviews the current literature on sex differences in stroke with an emphasis on the clinical data, incorporating an analysis of bench research as it pertains to the bedside."
Stroke	Pathophysiology	"Adenosine deaminase (ADA) catalyzes the irreversible hydrolytic deamination of adenosine to inosine. The purpose of this study was to determine the plasma activities of total adenosine deaminase (ADA T), and its isoenzymes, ADA1 and ADA2, and ADA1/ADA2 ratio of male and female ischemic stroke patients.We determined activities of plasma ADA T, ADA1, ADA2 and ADA1/ADA2 ratio in 30 patients (15 men and 15 women) with acute ischemic stroke within 12 h of the onset of the attack, as well as in 30 control subjects (15 men and 15 women) of comparable age.There were significant differences between the ADA1 activity and ADA1/ADA2 ratio in male and female stroke patients (p<0.05). Compared with male stroke subjects, females had higher ADA1 activity and ADA1/ADA2 ratios. There were no significant differences between activities of ADA T and ADA2 in men and women of the stroke and control groups. In addition, the Canadian Neurological Scale in men was significantly higher than that of women in the stroke group (p<0.05).Our results suggest that the primary mechanism in men with ischemic stroke might involve the reduction of ADA1 activity. The reduction is probably an adaptation mechanism for induced increase in adenosine availability and protection of brain to ischemic injury."
Stroke	Review	"We have known for some time that the epidemiology of human stroke is sexually dimorphic until late in life, well beyond the years of reproductive senescence and menopause. Now, a new concept is emerging: the mechanisms and outcome of cerebral ischemic injury are influenced strongly by biological sex as well as the availability of sex steroids to the brain. The principal mammalian estrogen (17 beta estradiol or E2) is neuroprotective in many types of brain injury and has been the major focus of investigation over the past several decades. However, it is becoming increasingly clear that although hormones are a major contributor to sex-specific outcomes, they do not fully account for sex-specific responses to cerebral ischemia. The purpose of this review is to highlight recent studies in cell culture and animal models that suggest that genetic sex determines experimental stroke outcome and that divergent cell death pathways are activated after an ischemic insult. These sex differences need to be identified if we are to develop efficacious neuroprotective agents for use in stroke patients."
Stroke	Pathophysiology	"We aimed to study whether variations in vasoregulatory endothelial nitric oxide synthase (eNOS 4a/b) and tissue-injury-associated inducible nitric oxide synthase (iNOS R5/4) genes and smoking might explain gender differences in long-term survival after stroke.A total of 486 consecutive acute stroke patients, subjected to MRI, were followed up for a mean of 7.6 years. The eNOS 4a/b (n = 300) and iNOS R5/4 (n = 310) genotypes were determined by PCR. Of these patients, 213/300 (71.0%; eNOS 4a/b) and 223/310 (71.9%; iNOS R5/4) had died.Despite the fact that women were older than men (72.3 vs. 69.5 years, p = 0.001) at recruitment, poor long-term survival was not sex-related, but instead predicted by age (p < 0.0001), cardiac failure (p = 0.004), smoking (p = 0.017), diabetes (p = 0.049), and variation in the eNOS gene locus (p = 0.033). Smoking and variations in both eNOS [hazard ratio (HR) = 1.53, p = 0.011] and iNOS loci (HR = 1.52, p = 0.073) were found to impact upon poor survival. We found a strong interaction between smoking, female sex, and the iNOS R5/4 genotype with the risk of death (HR = 3.23, CI = 1.51-6.90, p = 0.002). Compared with nonsmoking noncarriers, postmenopausal women who had been smokers and carried either the rare iNOS R5 allele (17.1%; HR = 4.23, CI = 1.84-9.75, p = 0.001) or the common eNOS 4b allele (71%; HR = 3.14, CI = 1.49-6.62, p = 0.003) were at a higher risk of death during the follow-up. These interactions were independent of each other, and were not found among men.The interaction between smoking and genetic variants of eNOS and iNOS predicts survival after stroke, especially among postmenopausal women."
Stroke	Epidemiology	"Previous reports concerning sex-related differences in stroke management and outcome are inconsistent and are sometimes difficult to interpret. We used data from a national stroke register to further explore possible differences between men and women in baseline characteristics, stroke treatment, and outcome.This study included 24633 stroke events registered in Riks-Stroke, the Swedish national quality register for stroke care, during 2006. Information on background variables and treatment was collected during the hospital stay. After 3 months, the patients' living situation and outcome were assessed.Women were older than men when they had their stroke (mean age, 78.4 versus 73.6 years; P<0.001). On admission to the hospital, women were more often unconscious. Among conscious patients, there was no sex-related difference in the use of stroke unit care. Men and women had equal probability to receive thrombolysis and oral anticoagulants. Women were more likely to develop deep venous thromboses and fractures, whereas men were more likely to develop pneumonia during their hospital stay. Women had a lower 3-month survival, a difference that was associated with higher age and impaired level of consciousness on admission. Women were less often living at home at the 3-month follow-up. However, the difference in residency was not present in patients <85 years who were living at home without community support before the stroke.Reported sex differences in stroke care and outcome were mainly explained by the women's higher age and lower level of consciousness on admission."
Stroke	Management	Epidemiologic studies suggest sex differences in evaluation of patients presenting with ischemic stroke. Sex differences in stroke evaluation could lead to sex differences in the validity of diagnosing ischemic stroke subtypes. This study assessed sex differences in the Ischemic Stroke Genetics Study (ISGS).The ISGS is a prospective case-control genetic association study of patients with first-ever ischemic stroke at 5 US tertiary stroke centers. The diagnostic tests performed as part of medical care were recorded for each enrolled patient.A total of 505 patients were enrolled; 45% (229 of 505) were women and 55% (276 of 505) were men. Mean age at time of stroke was greater for women (66.6 v 61.9 years; P = .001). Frequency of brain computed tomography was 92% (254 of 276) for men and 90% (206 of 229) for women (P = .42). Magnetic resonance imaging was completed in 84% (232 of 276) of men and 83% (191 of 229) of women (P = .91). Frequency of electrocardiography was 91% (252 of 276) for men and 90% (206 of 229) for women (P = .60). Echocardiography was done in 74% (203 of 276) of men and 79% (180 of 229) of women (P = .19). Cervical arterial imaging occurred in 91% (208 of 229) of women and 86% (237 of 276) of men (P = .09). Intracranial vascular imaging was performed in 75% (207 of 276) of men and 79% (181 of 229) of women (P = .28).Our findings suggest no significant sex differences in the extent to which major diagnostic tests were performed in patients in ISGS. Dedicated tertiary stroke centers may reduce the sex bias in stroke evaluation that has been identified by previous studies.
Stroke	Outcomes	"Little is known about sex differences in stroke recovery. The few available studies have found that female stroke survivors are less likely to achieve independence in activities of daily living and have poorer quality of life than male survivors.A total of 373 acute stroke survivors discharged from 9 hospitals participating in a statewide stroke registry were prospectively enrolled in an outcomes study. Follow-up data, including the Barthel Index and Stroke-Specific Quality of Life, were obtained from the survivor or a proxy by telephone interview 90 days postdischarge. The independent effects of sex on activities of daily living independence (Barthel Index > or =95) and Stroke-Specific Quality of Life scores, controlling for age, race, subtype, prestroke ambulatory status, and other patient characteristics, were determined using adjusted odds ratios and least-squares means, respectively.Twenty-five percent of the patients required a proxy respondent. In adjusted models, females were less likely to achieve activities of daily living independence (adjusted OR: 0.37, 95% CI: 0.19 to 0.87). Females had lower least-squares means Stroke-Specific Quality of Life scores in Physical Function (3.9 versus 4.2, P=0.02), Thinking (2.8 versus 3.4, P<0.001), Language (4.3 versus 4.5, P=0.03), and Energy (2.6 versus 3.0, P<0.01). Interactions between sex and prior stroke were found for Mood, Role Function, and Summary Score, resulting in lower least-squares means for females only among subjects without prior stroke.Compared with males, female stroke survivors had lower functional recovery and poorer quality of life 3 months postdischarge. These differences were not explained by females' greater age at stroke onset or other demographic or clinical characteristics."
Stroke	Epidemiology	"Though large epidemiological studies have not established associations between blood lipids and ischemic stroke, increasing evidences have suggested that lipid-modifying agents may reduce cerebrovascular events.To determine whether blood lipids are risk factors for ischemic stroke among hypertensive rural adults in China.A cross-sectional survey was conducted during 2004-2006, which underwent cluster multistage sampling to a hypertensive resident group in the countryside of China.A total of 6,412 individuals (2,805 men, 3,607 women) with age>or=35 years were included. At baseline, lifestyle and other factors were obtained and blood lipids were assessed at a central study laboratory. Ischemic stroke was defined according to the criteria established by the National Survey of Stroke and all cases were further classified into lacunar infarction and other ischemic strokes.Univariable and multivariable logistic regression were used.In the univariable logistic regression model, LDL cholesterol (LDLc) in men and total cholesterol (TC), LDLc and TC-to-HDL cholesterol (TC: HDLc ratio) in women were risk factors for other ischemic strokes, with OR 1.42 (95% CI, 1.16-1.75), 1.31 (95% CI, 1.11-1.55), 1.47 (95% CI, 1.16-1.88) and 1.67 (95% CI, 1.28-2.14), respectively. After adjusting for independent variables, an increase in non-HDL cholesterol (non-HDLc) was associated with a significant increased risk of other ischemic strokes in women, with adjusted OR 1.45 (95% CI, 1.08-1.93).LDLc was the common risk factor for ischemic stroke in men and women, whereas Non-HDLc, TC and TC: HDLc ratio levels were related to ischemic stroke as risk factors only in women."
Stroke	Review	"The incidence of stroke increases substantially after menopause, and in the United States it is the third leading cause of death. Data exist suggesting that women have worse outcomes for stroke than do men. Trials of aspirin use further suggest that there is a gender difference regarding stroke. While men may have a coronary benefit from aspirin, postmenopausal women do not; yet ischemic stroke may be decreased in women but not in men. Among the traditional risk factors for stroke (such as smoking, hypertension, diabetes, obesity), hormonal therapy (HT) has been suggested to be a risk as well, although the data are not consistent. The previous Position Statement of the IMS published in 2004 was relatively silent on the issue of stroke. The annual rate of stroke in women increases rapidly with aging in postmenopausal women. While the rate is approximately 0.6-0.8/1000/year at age 50-59, it is over 2/1000 after age 60. In white women in the USA, it is 4.2/1000 at 65-74 years of age, and 11.3/1000 between ages 75 and 84 years. Thus, in trials such as the Women's Health Initiative (WHI), most of the strokes occurred in older women. Both the conjugated equine estrogen/medroxyprogesterone acetate (CEE/MPA) and CEE-alone trials in the WHI reported an increased risk of stroke in the entire population using nominal statistics: 1.41 (95% confidence interval (CI) 1.07-1.85) and 1.39 (95% CI 1.10-1.77), respectively. The increased risk was related to ischemic stroke and not hemorrhagic stroke. The absolute risk for the entire population was 0.8/1000 and 1.2/1000 woman-years (<1/1000 signifies a 'rare' event using the CIOMS classification). However, the risk was not increased in the 50-59-year-old age group, although the numbers are small. Here, the background prevalence of stroke is much lower as noted above. The results of the observational trial of the WHI were not consistent with the randomized clinical trial data and were more in keeping with older observational data showing no increased risk of stroke. The authors reconcile these differences by suggesting differences in the timing of initiation of hormones, which was at an earlier age in the observational cohort. Several recent observational studies, which will be presented, show no increased risk of ischemic stroke in younger cohorts, but possibly an increase in the risk of transient ischemic attack. These recent studies suggested the risk to be less with lower doses of estradiol < or =1 mg and to be consistent with older studies showing no risk with doses < 0.625 mg CEE. In addition, the risk was possibly lower with non-oral therapy, and was reduced if started prior to menopause. The existence of hypertension was shown to substantially increase the risk. However, data on progestogen use versus unopposed estrogen have not been consistent. At the same time, a recent body of evidence from basic science studies has reaffirmed the neuronal and stroke protective effects of estrogen. Thus, the discrepancy between these data and clinical data showing no benefit or increased risk of stroke remains to be explained. Recent trials in older women with osteoporosis have suggested an increased risk of stroke with tibolone and of stroke mortality with raloxifene. In conclusion, the current data suggest no increased risk of stroke with hormone therapy in younger (50-59 years) normotensive postmenopausal women, particularly when lower doses are prescribed soon after menopause."
Stroke	Review	"1. It is well documented that the incidence and severity of several vascular diseases, such as hypertension, atherosclerosis and stroke, are lower in premenopausal women than men of similar age and post-menopausal women. The mechanisms responsible for gender differences in the incidence and severity of vascular disease are not well understood. However, emerging evidence suggests that sex hormone-dependent differences in vascular oxidative stress may play an important role. The aim of the present brief review is to provide an insight into the effect of gender and sex hormones on vascular oxidative stress. 2. When production of reactive oxygen species (ROS) is enhanced and/or their metabolism by anti-oxidant enzymes is impaired, a condition known as 'oxidative stress' can develop. Oxidative stress is believed to play an important role in both the initiation and progression of a variety of vascular diseases, including hypertension and atherosclerosis. NADPH oxidases are believed to be the major source of vascular ROS. Moreover, excessive production of ROS by NADPH oxidases has been linked to the development of vascular oxidative stress. 3. Increasing evidence suggests that levels of vascular ROS may be lower in women than men during health and disease. Indeed, the activity and expression of vascular NADPH oxidase is lower in female versus male animals under healthy, hypertensive and atherosclerotic conditions. 4. Gonadal sex hormones may play an important role in the regulation of vascular oxidative stress. For example, oestrogens, which are present in highest levels in premenopausal women, have been reported to lower vascular oxidative stress by modulating the expression and function of NADPH oxidases, as well as anti-oxidant enzymes. 5. Further studies are needed to clarify whether lower vascular oxidative stress in women in fact protects against the initiation and development of vascular disease and to further define the roles of gonadal sex hormones in such an effect. Knowledge gained from these studies may potentially lead to advances in the clinical diagnosis and treatment of vascular disease in both genders."
Stroke	Pathophysiology	"Data from the Framingham Heart Study suggest that women may be more sensitive to the deleterious cardiovascular remodeling effects of aldosterone. Previous studies from our laboratory have shown that chronic treatment with spironolactone, a mineralocorticoid receptor (MR) antagonist, decreases ischemic cerebral infarct size and prevents remodeling of the middle cerebral artery (MCA) in male spontaneously hypertensive stroke-prone rats (SHRSP). Therefore, we hypothesized that MR antagonism would reduce ischemic infarct size and prevent MCA remodeling in female SHRSP. Six-week-old female SHRSP were treated for 6 wk with spironolactone (25 or 50 mg.kg(-1).day(-1)) or eplerenone (100 mg.kg(-1).day(-1)) and compared with untreated controls. At 12 wk, cerebral ischemia was induced for 18 h using the intraluminal suture occlusion technique, or the MCA was isolated for analysis of passive structure using a pressurized arteriograph. MR antagonism had no effect on infarct size or passive MCA structure in female SHRSP. To study the potential effects of estrogen, the above experiments were repeated in bilaterally ovariectomized (OVX) female SHRSP treated with spironolactone (25 mg.kg(-1).day(-1)). Infarct size and vessel structure in OVX SHRSP were not different from control SHRSP. Spironolactone had no effect on infarct size in OVX SHRSP. However, MCA lumen and outer diameters were increased in spironolactone-treated OVX SHRSP, suggesting an effect of estrogen. Cerebral artery MR expression, assessed by Western blotting, was increased in female, compared with male, SHRSP. These studies highlight an apparent sexual dimorphism of MR expression and activity in the cerebral vasculature from hypertensive rats."
Stroke	Epidemiology	"We assessed sex differences in stroke prevalence among individuals of midlife age (35 to 64 years) in the United States and determined factors predicting stroke.Data from 1999 to 2004 (n = 17,061) from the National Health and Nutrition Examination Survey, a nationally representative sample of US adults, were used to assess sex differences in stroke prevalence and to identify independent predictors of stroke occurrence among middle-aged individuals.Women aged 45 to 54 years had significantly higher odds of having experienced a stroke vs men of the same age (odds ratio [OR] 2.39, 95% CI 1.32 to 4.32). No other significant midlife stroke differences between sexes were noted. A higher stroke trend was seen in 45- to 54-year-old women vs 35- to 44-year-old women (OR 2.13, 95% CI 0.95 to 4.80, p = 0.067), but no difference was seen in stroke rates in 55- to 64-year-old women vs 45- to 54-year-old women (OR 1.40, 95% CI 0.6912 to 2.8229, p = 0.352). Independent predictors of stroke in women aged 45 to 54 years were coronary artery disease (OR 12.790, 95% CI 1.901 to 86.063, p = 0.009) and waist circumference (OR 1.543, 95% CI 1.002 to 2.376, p = 0.049). Several vascular risk factors including systolic blood pressure and total cholesterol levels increased at higher rates among women compared with men in each successively older cohort from 35 to 64 years.A higher prevalence of stroke may exist among women aged 45 to 54 years compared with similarly aged men. This potential disparity could be due in part to inadequate stroke risk factor modification in women and is deserving of further study."
Stroke	Outcomes	"Female sex is predictive of poor functional outcome in stroke, even after correction for prognostic factors. Poor quality of life (QoL) is observed in stroke survivors with lower scores seen in the most disabled patients. We used data from the Tinzaparin in Acute Ischaemic Stroke Trial (TAIST) to assess the relationship between sex and QoL after ischemic stroke.TAIST was a randomized, controlled trial assessing the safety and efficacy of tinzaparin versus aspirin in 1484 patients with acute ischemic stroke. QoL was measured at 180 days postrandomization using the Short Form-36 health survey, which assesses QoL across 8 domains. The relationship between sex and each domain was assessed using ordinal regression, both unadjusted and adjusted for key prognostic factors.Of the 1484 patients randomized into TAIST, 216 had died at 180 days postrandomization. A total of 1268 survivors were included in this analysis, 694 males (55%) and 574 females (45%). Females tended to score lower than males across all QoL domains (apart from general health); statistically significant lower scores were seen for physical functioning (OR: 0.58, 95% CI: 0.47 to 0.72), vitality (OR: 0.79, 95% CI: 0.64 to 0.98), and mental health (OR: 0.75, 95% CI: 0.61 to 0.93). The results for physical functioning and mental health remained significant after adjustment for prognostic variables (OR: 0.73, 95% CI: 0.58 to 0.92; OR: 0.76, 95% CI: 0.60 to 0.95, respectively).QoL, in particular physical function and mental health domains, is lower in female patients after stroke. This difference persists even after correction for known prognostic factors such as age and stroke severity."
