Nr,Pubmed_ID,Review,Author,Title,Journal,Year,Subject,Species,Nr patients
92,23652162,Yes," Wei Zuo Affiliation=Key Laboratory of Bioactive Substances and Resources Utilization, Ministry of Education, Department of Pharmacology, Institute of Materia Medica, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing 100050, China. eileenzuo@163.com,",Sexual dimorphism in cerebral ischemia injury.,European journal of pharmacology,2013 Jul 5,REVIEW,Human,na
93,23410179,Yes," G Zhou Affiliation=Department of Neurology, No.425 Hospital of PLA, Sanya, China. guangyi78@gmail.com,",Sex differences in stroke case fatality: a meta-analysis.,Acta neurologica Scandinavica,2013 Jul,REVIEW,Human,na
94,23007380,No," Giovanni Corso Affiliation=Stroke Unit, Department of Neurology, Ospedale Regionale, Viale Ginevra n 3, 11100 Aosta, Italy. gcorso@ausl.vda.it,","Epidemiology of stroke in Northern Italy: the Cerebrovascular Aosta Registry, 2004-2008.",Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2013 Jul,EPI,Human,1326
95,23000320,No," Se Jin Park,",Gender differences in emergency stroke care and hospital outcome in acute ischemic stroke: a multicenter observational study.,The American journal of emergency medicine,2013 Jan,Outcomes,Human,6635
96,23141847,No," Daniela Poli,",Gender differences of bleeding and stroke risk in very Old atrial fibrillation patients on VKA treatment: results of the EPICA study on the behalf of FCSA (Italian Federation of Anticoagulation Clinics).,Thrombosis research,2013 Jan,Management,Human,4093
97,23901335,No," Christian Foerch Affiliation=Department of Neurology, Johann Wolfgang Goethe-University, Frankfurt am Main, Germany.,",Exploring gender distribution in patients with acute stroke: A multi-national approach.,Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences,2013 Jan,EPI,Human,99698
98,25206675,No," Yang-Kun Chen Affiliation=Department of Neurology, Dongguan People's Hospital, Dongguan 523059, Guangdong Province, China.,",Atrophy of the left dorsolateral prefrontal cortex is associated with poor performance in verbal fluency in elderly poststroke women.,Neural regeneration research,2013 Feb 5,CLIN,Human,60
99,23365064,No," W Taylor Kimberly,",Sex differences and hemoglobin levels in relation to stroke outcomes.,Neurology,2013 Feb 19,Outcomes,Human,274
100,22561337,Yes," Rodney M Ritzel,","Sex, stroke, and inflammation: The potential for estrogen-mediated immunoprotection in stroke.",Hormones and behavior,2013 Feb,Review,Human,na
101,23525441,No," Nirupa R Matthan,",Sex-specific differences in the predictive value of cholesterol homeostasis markers and 10-year cardiovascular disease event rate in framingham offspring study participants.,Journal of the American Heart Association,2013 Feb,CLIN,Human,2616
102,24172579,No," Svetlana Lorenzano Affiliation=From the Emergency Department Stroke Unit, Department of Neurology and Psychiatry, Policlinico Umberto I Hospital, ""Sapienza"" University of Rome, Rome, Italy (S.L., A.F., D.T.),",Does sex influence the response to intravenous thrombolysis in ischemic stroke?: answers from safe implementation of treatments in Stroke-International Stroke Thrombolysis Register.,"Stroke, a journal of cerebral circulation",2013 Dec,OUTC,Human,45079
103,24159003,No," Emma F France Affiliation=1University of Stirling, Stirling, United Kingdom.,",Do men's and women's accounts of surviving a stroke conform to Frank's narrative genres?,Qualitative health research,2013 Dec,OUTC,Human,18
104,23726277,No," Mustapha A Danesi Affiliation=Neurology Unit, Department of Medicine, Faculty of Clinical Sciences, College of Medicine, University of Lagos, and Lagos University Teaching Hospital, Idi Araba, PMB 12003, Lagos State, Nigeria.,",Incidence and 30-day case fatality rate of first-ever stroke in urban Nigeria: the prospective community based Epidemiology of Stroke in Lagos (EPISIL) phase II results.,Journal of the neurological sciences,2013 Aug 15,EPI,Human,189
105,23853671,Yes," Catherine M Davis Affiliation=Cerebrovascular Research Division, Department of Anesthesiology & Perioperative Medicine, Oregon Health & Science University, Portland, OR 97239-3098, USA.,",Mechanism of the sex difference in endothelial dysfunction after stroke.,Translational stroke research,2013 Aug 1,REVIEW,Human,na
106,23930140,Yes," Paco S Herson Affiliation=Departments of Anesthesiology and Pharmacology, University of Colorado, Denver.,",Biological sex and mechanisms of ischemic brain injury.,Translational stroke research,2013 Aug 1,REVIEW,Human,na
107,23760212,No," Yuehua Pu Affiliation=Department of Neurology, Beijing Tiantan Hospital of Capital Medical University, Beijing, China.,",Geographic and sex difference in the distribution of intracranial atherosclerosis in China.,"Stroke, a journal of cerebral circulation",2013 Aug,EPI,Human,2864
108,23418571,No," Zhan Wang,",Gender differences in 1-year clinical characteristics and outcomes after stroke: results from the china national stroke registry.,PloS one,2013,Outcomes,Human,12415
109,23051877,No," Rebecca W Persky,",Neonatal testosterone exposure protects adult male rats from stroke.,Neuroendocrinology,2013,PP,Rat,n.a.
110,23585883,No," Wenri Zhang,",Role of endothelial soluble epoxide hydrolase in cerebrovascular function and ischemic injury.,PloS one,2013,PP,Mouse,n.a.
111,23658641,No," Hilda Ahnstedt,",Male-female differences in upregulation of vasoconstrictor responses in human cerebral arteries.,PloS one,2013,PP,Human,n.a.
112,23451121,No," Yumie Takata,",Red meat and poultry intakes and risk of total and cause-specific mortality: results from cohort studies of chinese adults in shanghai.,PloS one,2013,EPI,Human,134290
113,24003740,No," V V Goldobin,",[Gender differences in clinical and hemoreologic disorders in elderly patients with non-cardioembolic ischemic stroke].,Advances in gerontology ,2013,CLIN,Human,na
114,24312335,No," Odera Umeano Affiliation=School of Medicine, Duke University, Durham, North Carolina, United States of America.,",Gender and age interact to affect early outcome after intracerebral hemorrhage.,PloS one,2013,OUTC,Human,na
115,24260141,No," Wei-Na Zhang Affiliation=Department of Neurology, the First Clinical Medical College of Harbin Medical University, Harbin, PR China.,",A prospective study of the incidence and correlated factors of post-stroke depression in China.,PloS one,2013,OUTC,Human,102
116,24330812,No," Hilde M Storhaug,",Uric acid is a risk factor for ischemic stroke and all-cause mortality in the general population: a gender specific analysis from The TromsÃ¸ Study.,BMC cardiovascular disorders,2013,EPI,Human,5700
117,24282783,No," Karen Bjorn-Mortensen Affiliation=Queen Ingrid's Health Center, Nuuk, Greenland ,",Incidence of Greenlandic stroke-survivors in Greenland: a 2-year cross-sectional study.,International journal of circumpolar health,2013,EPI,Human,156
118,24308305,No," Mahmoud Reza Azarpazhooh,",Incidence of first ever stroke during Hajj ceremony.,BMC neurology,2013,EPI,Human,92974
119,23768019,No," Marsha L Eigenbrodt Affiliation=College of Medicine and Fay W, Boozman College of Public Health, University of Arkansas for Medical Sciences, Little Rock, AR, USA. meigenbrodt@gmail.com,",Bilateral common carotid artery ultrasound for prediction of incident strokes using intima-media thickness and external diameter: an observational study.,Cardiovascular ultrasound,2013,CLIN,Human,7276
120,22641086,No," S L Fairbanks,",Mechanism of the sex difference in neuronal ischemic cell death.,Neuroscience,2012 Sep 6,Pathophysiology,Mouse,na
121,22955138,Yes," Michela Simoni,",Age- and sex-specific rates of leukoaraiosis in TIA and stroke patients: population-based study.,Neurology,2012 Sep 18,Review,Human,na
122,22718024,No," Nadia Khan,",Sex differences in clinical presentation and treatment outcomes in Moyamoya disease.,Neurosurgery,2012 Sep,Outcomes,Human,430
123,22069216,No," Maria SjÃ¶lander,",Few sex differences in the use of drugs for secondary prevention after stroke: a nationwide observational study.,Pharmacoepidemiology and drug safety,2012 Sep,Management,Human,18349
124,21612332,No," Martin J Holzmann,",Renal dysfunction increases the risk of ischemic and hemorrhagic stroke in the general population.,Annals of medicine,2012 Sep,Epidemiology,Human,539287
125,22819738,No," T Bisdas,",The impact of gender on in-hospital outcomes after carotid endarterectomy or stenting.,European journal of vascular and endovascular surgery : the official journal of the European Society for Vascular Surgery,2012 Sep,Epidemiology,Human,69688
126,22798330,No," Jukka Putaala,",Demographic and geographic vascular risk factor differences in European young adults with ischemic stroke: the 15 cities young stroke study.,"Stroke, a journal of cerebral circulation",2012 Oct,Epidemiology,Human,3944
127,22939800,Yes," Valeria Caso,",Antiplatelet treatment in primary and secondary stroke prevention in women.,European journal of internal medicine,2012 Oct,Review,Human,na
128,22151696,No," Charles Ellis,","The association between major depression, health behaviors, and quality of life in adults with stroke.",International journal of stroke : official journal of the International Stroke Society,2012 Oct,Epidemiology,Human,5869
129,23026652,Yes," Marie-Germaine Bousser,","Cerebral venous thrombosis, pregnancy and oral contraceptives.",Thrombosis research,2012 Oct,Review,Human,na
130,23617154,No," Shelley L Galvin,",The red dress survey: Awareness among women in Western North Carolina of heart disease and stroke in women.,North Carolina medical journal,2012 Nov-Dec,EPI,Human,340
131,22570463,No," Meytal Avgil Tsadok,",Sex differences in stroke risk among older patients with recently diagnosed atrial fibrillation.,JAMA : the journal of the American Medical Association,2012 May 9,Epidemiology,Human,83513
132,22305517,No," Sofia Markoula,",Associations of ESR2 AluI (G/A) polymorphism with ischemic stroke in Caucasians.,Journal of the neurological sciences,2012 May 15,Pathophysiology,Human,854
133,22167233,No," Yingfang Tian,",Effects of gender on gene expression in the blood of ischemic stroke patients.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2012 May,Pathophysiology,Human,103
134,22154189,No," Nandakumar Nagaraja,",Gender based differences in acute stroke care in Michigan hospitals.,Journal of the neurological sciences,2012 Mar 15,Management,Human,602
135,21978129,No," C F Rueda-Clausen,",Increased plasma levels of total homocysteine but not asymmetric dimethylarginine in Hispanic subjects with ischemic stroke FREC-VI sub-study.,European journal of neurology : the official journal of the European Federation of Neurological Societies,2012 Mar,Epidemiology,Human,476
136,22732744,Yes," Jose Gutierrez,",Statin therapy in the prevention of recurrent cardiovascular events: a sex-based meta-analysis.,Archives of internal medicine,2012 Jun 25,Review,Human,43193
137,22882844,No," Ying He,",Sex-dependent association of phosphodiesterase 4D gene polymorphisms with ischemic stroke in Henan Han population.,Chinese medical journal,2012 Jul,Pathophysiology,Human,800
138,22033996,No," Bence Gunda,",Effects of Gender on the Phenotype of CADASIL.,"Stroke, a journal of cerebral circulation",2012 Jan,Clinical,Human,313
139,22118710,No," Kate M Scott,",Gender differences in the disability (functional limitations) associated with cardiovascular disease: a general population study.,Psychosomatics,2012 Jan,Clinical,Human,7434
140,22261543,No," Jun Yan,",Frequency and function of regulatory T cells after ischaemic stroke in humans.,Journal of neuroimmunology,2012 Feb 29,Pathophysiology,Human,na
141,22052522,No," Boryana Stamova,",The X-chromosome has a different pattern of gene expression in women compared with men with ischemic stroke.,"Stroke, a journal of cerebral circulation",2012 Feb,Pathophysiology,Human,170
142,20708391,No," M Phang,",Gender-specific inhibition of platelet aggregation following omega-3 fatty acid supplementation.,"Nutrition, metabolism, and cardiovascular diseases : NMCD",2012 Feb,Management,Human,30
143,22246970,No," Nicolas Werner,",Carotid artery stenting in clinical practice: does sex matter? Results from the carotid artery stenting registry of the Arbeitsgemeinschaft Leitende Kardiologische KrankenhausÃ¤rzte (ALKK).,Clinical cardiology,2012 Feb,Management,Human,5130
144,22053957,No," F Liu,",Effects of chronic and acute oestrogen replacement therapy in aged animals after experimental stroke.,Journal of neuroendocrinology,2012 Feb,Management,Mouse,na
145,21999397,No," Pawan Hari,",A gender-stratified comparative analysis of various definitions of metabolic syndrome and cardiovascular risk in a multiethnic u.s. Population.,Metabolic syndrome and related disorders,2012 Feb,Clinical,Human,6814
146,21649609,No," D Giralt,",The gender gap in stroke: a meta-analysis.,Acta neurologica Scandinavica,2012 Feb,Clinical,Human,673935
147,22995971,No," Renee M Sullivan,",Relation of Gender-Specific Risk of Ischemic Stroke in Patients With Atrial Fibrillation to Differences in Warfarin Anticoagulation Control (from AFFIRM).,The American journal of cardiology,2012 Dec 15,Management,Human,4060
148,23007639,No," Robert G Hart,","Sex, stroke, and atrial fibrillation.",Archives of neurology,2012 Dec 1,Epidemiology,Human,83513
149,23032484,Yes," Roy A M Haast,",Sex differences in stroke.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2012 Dec,Review,Human,na
150,23137791,No," Seung Ji Lim,",Gender-specific combined effects of smoking and hypertension on cardiovascular disease mortality in elderly Koreans: The Kangwha Cohort Study.,Maturitas,2012 Dec,Outcomes,Human,6097
151,21978123,No," Gerald Choon-Huat Koh,",Trade-offs between effectiveness and efficiency in stroke rehabilitation.,International journal of stroke : official journal of the International Stroke Society,2012 Dec,Management,Human,2810
152,22271343,No," Oliver Herrmann,",Fast-track intubation for accelerated interventional stroke treatment.,Neurocritical care,2012 Dec,Management,Human,71
153,20691565,No," Nandavar Shobha,",Carotid angioplasty and stenting is safe in women.,Canadian Association of Radiologists journal ,2012 Aug,Management,Human,243
154,22450870,No," Yosuke Morizawa,",Cell-autonomous enhancement of glutamate-uptake by female astrocytes.,Cellular and molecular neurobiology,2012 Aug,Pathophysiology,Animal,na
155,22788569,No," Ã…sa FranzÃ©n-Dahlin,",Gender differences in quality of life after stroke and TIA: a cross-sectional survey of out-patients.,Journal of clinical nursing,2012 Aug,Outcomes,Human,1048
156,22365286,No," Yingfang Tian,",Y chromosome gene expression in the blood of male patients with ischemic stroke compared with male controls.,Gender medicine,2012 Apr,Pathophysiology,Human,81
157,22445684,No," Shawnita Sealy-Jefferson,",Age- and ethnic-specific sex differences in stroke risk.,Gender medicine,2012 Apr,Epidemiology,Human,2421
158,22335823,No," Amytis Towfighi,",Temporal trends in risk of future cardiac events among stroke survivors in the United States.,International journal of stroke : official journal of the International Stroke Society,2012 Apr,Outcomes,Human,748
159,20851620,No," Helmi L Lutsep,",Effects of sex on mechanical embolectomy outcome.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2012 Apr,Outcomes,Human,305
160,22150935,No," A J Metso,",Gender and cervical artery dissection.,European journal of neurology : the official journal of the European Federation of Neurological Societies,2012 Apr,Epidemiology,Human,1641
161,23110067,No," Neghal Kandiyil,","Lower prevalence of carotid plaque hemorrhage in women, and its mediator effect on sex differences in recurrent cerebrovascular events.",PloS one,2012,Clinical,Human,176
162,22248621,No," S H Wu,","Sex differences in stroke incidence and survival in Hong Kong, 2000-2007.",Neuroepidemiology,2012,Outcomes,Human,na
163,22133999,No," F Palm,","Etiology, risk factors and sex differences in ischemic stroke in the Ludwigshafen Stroke Study, a population-based stroke registry.","Cerebrovascular diseases (Basel, Switzerland)",2012,Epidemiology,Human,626
164,22496770,No," Janette de Goede,",Gender-specific associations of marine n-3 fatty acids and fish consumption with 10-year incidence of stroke.,PloS one,2012,Epidemiology,Human,20069
165,22762013,No," Xiao-Ying Yao,",Age- and gender-specific prevalence of risk factors in patients with first-ever ischemic stroke in china.,Stroke research and treatment,2012,Epidemiology,Human,1027
166,22752784,Yes," Wendy J van der Spuy,","Interrelation between inflammation, thrombosis, and neuroprotection in cerebral ischemia.",Reviews in the neurosciences,2012,Review,Human,na
167,22635131,No," Sanja DraÄa,",Gender and stroke lateralization: factors of functional recovery after the first-ever unilateral stroke?,NeuroRehabilitation,2012,Outcomes,Human,80
168,23251832,Yes," Susanna Toivanen,",Social Determinants of Stroke as Related to Stress at Work among Working Women: A Literature Review.,Stroke research and treatment,2012,Review,Human,na
169,22661965,No," Ali J Ghods,",Gender differences in cerebral aneurysm location.,Frontiers in neurology,2012,Clinical,Human,682
170,22384046,No," Peter WallstrÃ¶m,",Dietary fiber and saturated fat intake associations with cardiovascular disease differ by sex in the MalmÃ¶ Diet and Cancer Cohort: a prospective study.,PloS one,2012,Epidemiology,Human,20674
171,21917808,No," L Christine Turtzo,",X chromosome dosage and the response to cerebral ischemia.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2011 Sep 14,Pathophysiology,Mouse,na
172,21762415,No," JÃ¶rgen Medin,","Eating difficulties among stroke patients in the acute state: a descriptive, cross-sectional, comparative study.",Journal of clinical nursing,2011 Sep,Clinical,Human,104
173,21091637,Yes," C Siegel,",NAD+ depletion or PAR polymer formation: which plays the role of executioner in ischaemic cell death?,"Acta physiologica (Oxford, England)",2011 Sep,Review,?,na
174,21852604,No," Yuji Shimizu,",Chronic kidney disease and drinking status in relation to risks of stroke and its subtypes: the Circulatory Risk in Communities Study (CIRCS).,"Stroke, a journal of cerebral circulation",2011 Sep,Clinical,Human,12222
175,21926519,No," Paul Murphy,",The impact of a statewide stroke quality improvement program: Colorado Stroke Alliance and Colorado Stroke Registry.,The Journal of neuroscience nursing : journal of the American Association of Neuroscience Nurses,2011 Oct,Management,Human,na
176,21609416,No," Bruce Ovbiagele,",Recent age- and gender-specific trends in mortality during stroke hospitalization in the United States.,International journal of stroke : official journal of the International Stroke Society,2011 Oct,Outcomes,Human,2553742
177,21908987,No," Dustin Johnsen,",Isoflurane preconditioning protects astrocytes from oxygen and glucose deprivation independent of innate cell sex.,Journal of neurosurgical anesthesiology,2011 Oct,Pathophysiology,Mouse,na
178,21925968,No," Nivedita U Jerath,",Gender differences in presenting signs and symptoms of acute ischemic stroke: a population-based study.,Gender medicine,2011 Oct,Clinical,Human,449
179,21799158,No," Amytis Towfighi,",Sex-specific temporal trends in in-hospital mortality after stroke among middle-age individuals in the United States.,"Stroke, a journal of cerebral circulation",2011 Oct,Outcomes,Human,2537097
180,21924390,No," Michael Howe,",Role of cigarette smoking and gender in acute coronary syndrome events.,The American journal of cardiology,2011 Nov 15,Clinical,Human,3588
181,21967079,No," Roberto Manfredini,",Seasonal and weekly patterns of occurrence of acute cardiovascular diseases: does a gender difference exist?,Journal of women's health (2002),2011 Nov,Epidemiology,Human,168921
182,21587268,No," Jia Jia,",Sex differences in neuroprotection provided by inhibition of TRPM2 channels following experimental stroke.,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2011 Nov,Pathophysiology,Mouse,na
183,20621507,No," Naoki Saji,",Clinical features of a first-ever lacunar infarction in Japanese patients: poor outcome in females.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2011 May-Jun,Outcomes,Human,163
184,21262338,No," Suzan Dziennis,",Role of dihydrotestosterone in post-stroke peripheral immunosuppression after cerebral ischemia.,"Brain, behavior, and immunity",2011 May,Pathophysiology,Mouse,na
185,21612354,Yes," Eric E Adelman,",Gender differences in the primary prevention of stroke with aspirin.,"Women's health (London, England)",2011 May,Review,Human,
186,21612353,Yes," Bharti Manwani,",Sexual dimorphism in ischemic stroke: lessons from the laboratory.,"Women's health (London, England)",2011 May,Review,Human,
187,21612359,Yes," Monica Acciarresi,",Secondary stroke prevention in women.,"Women's health (London, England)",2011 May,Review,Human,
188,21612358,Yes," Mathew J Reeves,",Thrombolysis treatment for acute stroke: issues of efficacy and utilization in women.,"Women's health (London, England)",2011 May,Review,Human,
189,21185736,No," Moira K Kapral,",Gender differences in stroke care and outcomes in Ontario.,Women's health issues : official publication of the Jacobs Institute of Women's Health,2011 Mar-Apr,Management,Human,4046
190,21483112,No," Nil Fer Yesilot,",Gender differences in acute stroke: Istanbul medical school stroke registry.,Neurology India,2011 Mar-Apr,Clinical,Human,1842
191,21257820,No," David L Roth,",Race and gender differences in 1-year outcomes for community-dwelling stroke survivors with family caregivers.,"Stroke, a journal of cerebral circulation",2011 Mar,Outcomes,Human,112
192,21257822,No," Liyong Wang,",A candidate gene study revealed sex-specific association between the OLR1 gene and carotid plaque.,"Stroke, a journal of cerebral circulation",2011 Mar,Pathophysiology,Human,287
193,22034780,No," Malgorzata Wiszniewska,","Sex differences in risk factor distribution, severity, and outcome of ischemic stroke.",Acta clinica Croatica,2011 Mar,Clinical,Human,2534
194,21681268,No," Xun Tang,",[Gender-specific differences in relative effects of cardiovascular risk factors among rural population].,Beijing da xue xue bao. Yi xue ban ,2011 Jun 18,Clinical,Human,7577
195,21354570,No," Bin Zhang,","Sex differences in risk factors, etiology, and short-term outcome of cerebral infarction in young patients.",Atherosclerosis,2011 Jun,Clinical,Human,669
196,22287995,No," RenÃ©e J Turner Affiliation=Department of Neurology and M.I.N.D. Institute, University of California at Davis, Sacramento, CA 95817, USA.,",Gender-dependent correlations of carotid intima-media thickness with gene expression in blood.,Translational stroke research,2011 Jun,CLIN,Human,52
197,21709246,No," Chad Siegel,",miR-23a regulation of X-linked inhibitor of apoptosis (XIAP) contributes to sex differences in the response to cerebral ischemia.,Proceedings of the National Academy of Sciences of the United States of America,2011 Jul 12,Pathophysiology,?,na
198,21705427,No," Claire L Gibson,",Progesterone is neuroprotective following cerebral ischaemia in reproductively ageing female mice.,Brain : a journal of neurology,2011 Jul,,Mouse,na
199,21602002,Yes," Niki Katsiki,","Stroke, obesity and gender: a review of the literature.",Maturitas,2011 Jul,Review,Human,na
200,21804496,No," M Bhattacharjee,",Sex differentiation and risk factor evaluation in stroke patients.,Mymensingh medical journal : MMJ,2011 Jul,Clinical,Human,177
201,21790339,Yes," Dawn M Meyer,",Sex differences in antiplatelet response in ischemic stroke.,"Women's health (London, England)",2011 Jul,Review,Human,na
202,20202703,No," James Ka Hay Luk,",Gender differences in rehabilitation outcomes among older Chinese patients.,Archives of gerontology and geriatrics,2011 Jan-Feb,Outcomes,Human,1795
203,21269910,No," Akiko Sakata,",Female type 2 diabetes mellitus mice exhibit severe ischemic brain damage.,Journal of the American Society of Hypertension : JASH,2011 Jan-Feb,Pathophysiology,Mouse,na
204,21483221,No," Il Ho Kim,",Age and gender differences in the relation of chronic diseases to activity of daily living (ADL) disability for elderly South Koreans: based on representative data.,Journal of preventive medicine and public health ,2011 Jan,Outcomes,Human,3609
205,21205242,Yes," Nanette Stroebele,","Knowledge of risk factors, and warning signs of stroke: a systematic review from a gender perspective.",International journal of stroke : official journal of the International Stroke Society,2011 Feb,Review,Human,na
206,21497768,No," Young-Suk Kim,",Gender differences in risk factors for intracranial cerebral atherosclerosis among asymptomatic subjects.,Gender medicine,2011 Feb,Clinical,Human,935
207,21257876,Yes," Ricardo C Cury,",Cardiovascular disease and stroke in women: role of radiology.,AJR. American journal of roentgenology,2011 Feb,Review,Human,na
208,20237171,No," Eileen M Crimmins,","Gender differences in health: results from SHARE, ELSA and HRS.",European journal of public health,2011 Feb,Epidemiology,Human,na
209,21257875,Yes," Rachel M Griggs,","Noninvasive risk assessment for stroke: special emphasis on carotid atherosclerosis, sex-related differences, and the development of an effective screening strategy.",AJR. American journal of roentgenology,2011 Feb,Review,Human,na
210,21985935,No," D Johnsen,",Isoflurane preconditioning protects neurons from male and female mice against oxygen and glucose deprivation and is modulated by estradiol only in neurons from female mice.,Neuroscience,2011 Dec 29,Pathophysiology,Mouse,na
211,21893604,No," Susanna Toivanen,",Income differences in stroke mortality: a 12-year follow-up study of the Swedish working population.,Scandinavian journal of public health,2011 Dec,Outcomes,Human,3000000
212,21071391,No," Giovanni Veronesi,",Gender differences in the association between education and the incidence of cardiovascular events in Northern Italy.,European journal of public health,2011 Dec,Epidemiology,Human,5084
213,22133246,No," Chien-Hua Wu,",Contribution of ischemic stroke to hip fracture risk and the influence of gender difference.,Archives of physical medicine and rehabilitation,2011 Dec,Epidemiology,Human,1951
214,21311064,No," Fudong Liu,",Sex differences in the response to poly(ADP-ribose) polymerase-1 deletion and caspase inhibition after stroke.,"Stroke, a journal of cerebral circulation",2011 Apr,Pathophysiology,Mouse,na
215,21847346,No," Julie A Luker,",Age and gender as predictors of allied health quality stroke care.,Journal of multidisciplinary healthcare,2011,Management,Human,300
216,21725741,No," Zi Ye,",Effects of gender on heart injury after intracerebral hemorrhage in rats.,Acta neurochirurgica. Supplement,2011,Pathophysiology,Rat,na
217,21346351,No," Patricia MartÃ­nez-SÃ¡nchez,",Young women have poorer outcomes than men after stroke.,"Cerebrovascular diseases (Basel, Switzerland)",2011,Outcomes,Human,310
218,21252506,Yes," Sabine Oertelt-Prigione,","Stroke and myocardial infarction: a comparative systematic evaluation of gender-specific analysis, funding and authorship patterns in cardiovascular research.","Cerebrovascular diseases (Basel, Switzerland)",2011,Review,Human,na
219,21921652,No," Yaroslav Winter,",Evaluation of the obesity genes FTO and MC4R and the type 2 diabetes mellitus gene TCF7L2 for contribution to stroke risk: The Mannheim-Heidelberg Stroke Study.,Obesity facts,2011,Pathophysiology,Human,758
220,20435026,No," No S Kim,",Age and sex dependent genetic effects of neuropeptide Y promoter polymorphism on susceptibility to ischemic stroke in Koreans.,"Clinica chimica acta, international journal of clinical chemistry",2010 Sep 6,Epidemiology,Human,1350
221,20651270,No," Sharon N Poisson,",Gender differences in treatment of severe carotid stenosis after transient ischemic attack.,"Stroke, a journal of cerebral circulation",2010 Sep,Management,Human,299
222,20568585,No," Mohamad G Alkadry,",The effect of rurality and gender on stroke awareness of adults in West Virginia.,Journal of health and human services administration,2010 Season=Summer,Epidemiology,Human,1114
223,20698025,Yes," Chad Siegel,",Sex differences in cerebral ischemia: possible molecular mechanisms.,Journal of neuroscience research,2010 Oct,Review,Human,na
224,20472462,No," Marianne Falconer,",Estimated prevalence of fatigue following stroke and transient ischemic attack is dependent on terminology used and patient gender.,Journal of stroke and cerebrovascular diseases : the official journal of National Stroke Association,2010 Nov-Dec,Clinical,Human,91
225,20947845,No," Marcel Arnold,",Acute basilar artery occlusion in the Basilar Artery International Cooperation Study: does gender matter?,"Stroke, a journal of cerebral circulation",2010 Nov,Outcomes,Human,615
226,21059542,No," Hong-Miao Tao,",TGF-Î²1 869T/C polymorphism and ischemic stroke: sex difference in Chinese.,The Canadian journal of neurological sciences. Le journal canadien des sciences neurologiques,2010 Nov,Epidemiology,Human,900
227,20496970,No," Tatjana Alexander,",Family caregivers: gender differences in adjustment to stroke survivors' mental changes.,Rehabilitation psychology,2010 May,Outcomes,Human,194
228,20507291,No," Denisa SalihoviÄ‡,","Sex differences in patients with acute ischemic stroke in Tuzla region, Bosnia and Herzegovina.",Bosnian journal of basic medical sciences / UdruÅ¾enje basiÄnih mediciniskih znanosti ,2010 May,Outcomes,Human,2833
229,20181922,No," S L Gall,","Sex differences in presentation, severity, and management of stroke in a population-based study.",Neurology,2010 Mar 23,Management,Human,1316
230,20093634,No," Anatoli Yashin,",Trends in survival and recovery from stroke: evidence from the National Long-Term Care Survey/Medicare data.,"Stroke, a journal of cerebral circulation",2010 Mar,Outcomes,Human,na
231,19771460,No," Juergen J Marx,","Gender-specific differences in stroke knowledge, stroke risk perception and the effects of an educational multimedia campaign.",Journal of neurology,2010 Mar,Epidemiology,Human,500
232,19822560,No," Chris J Sutton,",Changing stroke mortality trends in middle-aged people: an age-period-cohort analysis of routine mortality data in persons aged 40 to 69 in England.,Journal of epidemiology and community health,2010 Jun,Outcomes,Human,na
233,20536610,No," Marjukka HyvÃ¤rinen,",The difference between acute coronary heart disease and ischaemic stroke risk with regard to gender and age in Finnish and Swedish populations.,International journal of stroke : official journal of the International Stroke Society,2010 Jun,Epidemiology,Human,9278
234,20002005,Yes," P Appelros,",A review on sex differences in stroke treatment and outcome.,Acta neurologica Scandinavica,2010 Jun,Review,Human,na
235,20145655,No," Vanessa H Brait,","Mechanisms contributing to cerebral infarct size after stroke: gender, reperfusion, T lymphocytes, and Nox2-derived superoxide.",Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,2010 Jul,Pathophysiology,Mouse,na
236,20508191,No," Nadia A Khan,",Antihypertensive drug use and adherence after stroke: are there sex differences?,"Stroke, a journal of cerebral circulation",2010 Jul,Management,Human,3571
237,19940280,No," Tzu-Yin Chen,",Sex-specific role of thioredoxin in neuroprotection against iron-induced brain injury conferred by estradiol.,"Stroke, a journal of cerebral circulation",2010 Jan,Pathophysiology,Rat,na
238,20088729,No," Valeria Caso,",Gender differences in patients with acute ischemic stroke.,"Women's health (London, England)",2010 Jan,Epidemiology,Human,1136
239,20425178,Yes," Rebecca W Persky,",Stroke in women: disparities and outcomes.,Current cardiology reports,2010 Jan,Review,Human,na
240,19895874,No," V Limatola,",Xenon preconditioning confers neuroprotection regardless of gender in a mouse model of transient middle cerebral artery occlusion.,Neuroscience,2010 Feb 3,Pathophysiology,Mouse,na
