Nr	Pubmed_ID	Review	Author	Title	Journal	Year	Subject	Species	Nr patients	
126	19470037	No	" Andrea M Russo,"	Implantable cardioverter defibrillators: do women fare worse than men? Gender comparison in the INTRINSIC RV trial.	Journal of cardiovascular electrophysiology	2009 Sep	Management	Human	1530	
127	19850239	No	" Sven E Nilsson,"	"Relationship between serum progesterone concentrations and cardiovascular disease, diabetes, and mortality in elderly Swedish men and women: An 8-year prospective study."	Gender medicine : official journal of the Partnership for Gender-Specific Medicine at Columbia University	2009 Sep	Clinical	Human	425	
128	19442974	No	" Christopher S Lee,"	Gender differences in heart failure self-care: a multinational cross-sectional study.	International journal of nursing studies	2009 Nov	Management	Human	2082	
129	19276612	No	" Hirofumi Kambara,"	Gender differences in patients with coronary artery disease in Japan: the Japanese Coronary Artery Disease Study (the JCAD study).	Circulation journal : official journal of the Japanese Circulation Society	2009 May	Epidemiology	Human	13812	
130	19221223	No	" Pamela N Peterson,"	Gender differences in procedure-related adverse events in patients receiving implantable cardioverter-defibrillator therapy.	Circulation	2009 Mar 3	Management	Human	161470	
131	19109351	No	" Masoud Shafazand,"	Survival trends in men and women with heart failure of ischaemic and non-ischaemic origin: data for the period 1987-2003 from the Swedish Hospital Discharge Registry.	European heart journal	2009 Mar	Outcomes	Human		
132	19576329	No	" Gregg C Fonarow,"	Age- and gender-related differences in quality of care and outcomes of patients hospitalized with heart failure (from OPTIMIZE-HF).	The American journal of cardiology	2009 Jul 1	Outcomes	Human	48612	
133	19808563	No	" Hiroyuki Okura,"	Age- and gender-specific changes in the left ventricular relaxation: a Doppler echocardiographic study in healthy individuals.	Circulation. Cardiovascular imaging	2009 Jan	Clinical	Human	1333	
134	19808311	No	" Laura R Loehr,"	Association of multiple anthropometrics of overweight and obesity with incident heart failure: the Atherosclerosis Risk in Communities study.	Circulation. Heart failure	2009 Jan	Clinical	Human	14641	
135	19620128	No	" Laura Zelarayan,"	NF-kappaB activation is required for adaptive cardiac hypertrophy.	Cardiovascular research	2009 Dec 1	Pathophysiology	Mouse	na	
136	20070033	Yes	" A Klabník,"	Gender differences in pharmacotherapy of chronic heart failure	Vnitr?ní lékar?ství	2009 Dec	Review	Human		
137	19643307	Yes	" Eileen M Hsich,"	Heart failure in women: a need for prospective data.	Journal of the American College of Cardiology	2009 Aug 4	Review	Human		
138	19643361	No	" Urban Alehagen,"	Are there any significant differences between females and males in the management of heart failure? Gender aspects of an elderly population with symptoms associated with heart failure.	Journal of cardiac failure	2009 Aug	Management	Human	876	
139	19365001	No	" Andreas Kalogeropoulos,"	"Epidemiology of incident heart failure in a contemporary elderly cohort: the health, aging, and body composition study."	Archives of internal medicine	2009 Apr 13	Epidemiology	human	2934	
140	19547628	No	" Till Neumann,"	Heart failure: the commonest reason for hospital admission in Germany: medical and economic perspectives.	Deutsches Ärzteblatt international	2009 Apr	Epidemiology	Human		
141	19332206	No	" Clyde W Yancy,"	Influence of patient age and sex on delivery of guideline-recommended heart failure care in the outpatient cardiology practice setting: findings from IMPROVE HF.	American heart journal	2009 Apr	Management	Human	15381	
142	19370084	No	" Erkan Tuncay,"	Effects of beta-adrenergic receptor blockers on cardiac function: a comparative study in male versus female rats.	Canadian journal of physiology and pharmacology	2009 Apr	Pathophysiology	Rat	na	
143	19725975	No	" Colleen J Maxwell,"	Sex differences in the relative contribution of social and clinical factors to the Health Utilities Index Mark 2 measure of health-related quality of life in older home care clients.	Health and quality of life outcomes	2009	Outcomes	Human	514	
144	19267248	No	" G Tasevska-Dinevska,"	"Gender aspects on heart failure incidence and mortality in a middle-aged, urban, community-based population sample: the Malmö preventive project."	European journal of epidemiology	2009	Epidemiology	Human	33342	
145	18792824	No	" Katharina Meyer, Otto Martin Hess"	"Heart failure events, and case fatalities in Switzerland based on hospital statistics and cause of death statistics."	"Swiss medical weekly : official journal of the Swiss Society of Infectious Diseases, the Swiss Society of Internal Medicine, the Swiss Society of Pneumology"	2008 Sep 6	Epidemiology	Human	na	
146	18665344	No	" Henning Witt, Vera Regitz-Zagrosek"	Sex-specific pathways in early cardiac response to pressure overload in mice.	"Journal of molecular medicine (Berlin, Germany)"	2008 Sep	Pathophysiology	Mouse	na	
147	18692438	No	" Jeanette Schulz-Menger, Rainer Dietz"	Gender-specific differences in left ventricular remodelling and fibrosis in hypertrophic cardiomyopathy: insights from cardiovascular magnetic resonance.	European journal of heart failure : journal of the Working Group on Heart Failure of the European Society of Cardiology	2008 Sep	Pathophysiology	Human	124	
148	18953781	No	" M J Lenzen, M Komajda"	Heart failure in men and women: important differences in the diagnostic workup and treatment	Nederlands tijdschrift voor geneeskunde	2008 Oct 4	Management	Human	8914	
149	18441458	No	" Shingo Seki, Michihiro Yoshimura"	Clinical significance of B-type natriuretic Peptide in the assessment of untreated hypertension.	Circulation journal : official journal of the Japanese Circulation Society	2008 May	Management	Human	154	
150	19936283	Yes	" Kent R Nilsson,"	Chronic heart failure and exercise intolerance: the hemodynamic paradox.	Current cardiology reviews	2008 May	Review	Human		
151	17575332	No	" M J Lenzen, M Komajda"	Management of patients with heart failure in clinical practice: differences between men and women.	Heart (British Cardiac Society)	2008 Mar	Management	Human	9814	
152	18373605	No	" Andrea M Russo, Gust H Bardy"	Primary prevention with defibrillator therapy in women: results from the Sudden Cardiac Death in Heart Failure Trial.	Journal of cardiovascular electrophysiology	2008 Jul	Management	Human	na	
153	19356462	No	" Linda R Peterson,"	Impact of gender on the myocardial metabolic response to obesity.	JACC. Cardiovascular imaging	2008 Jul	Clinical	Human	86	
154	17882230	No	" E R Schwarz,"	The prevalence and clinical relevance of sexual dysfunction in women and men with chronic heart failure.	International journal of impotence research	2008 Jan-Feb	Epidemiology	Human		
155	19072448	No	" Hillel A Steiner, John M Miller"	Disparity in utilization of implantable cardioverter-defibrillators in treatment of heart failure based on sex and race.	"Women's health (London, England)"	2008 Jan	Review	Human	na	
156	18279769	No	" Markku S Nieminen, Jose Luis Lopez-Sendon"	Gender related differences in patients presenting with acute heart failure. Results from EuroHeart Failure Survey II.	European journal of heart failure : journal of the Working Group on Heart Failure of the European Society of Cardiology	2008 Feb	Epidemiology	Human	3580	
157	18948671	No	" Nobuyuki Shiba, Hiroaki Shimokawa"	Emerging problems of heart failure practice in Japanese women.	Circulation journal : official journal of the Japanese Circulation Society	2008 Dec	Epidemiology	Human	1278	
158	18674762	No	" Seongkum Heo, Misook L Chung"	"Gender differences in and factors related to self-care behaviors: A cross-sectional, correlational study of patients with heart failure."	International journal of nursing studies	2008 Dec	Management	Human	122	
159	18615351	No	" G Tasevska-Dinevska, R Willenheimer"	Gender aspects on survival among patients admitted to hospital with suspected or diagnosed heart failure.	Scandinavian cardiovascular journal : SCJ	2008 Dec	Outcomes	Human	930	
160	20031553	No	" David R Fermin,"	Sex and age dimorphism of myocardial gene expression in nonischemic human heart failure.	Circulation. Cardiovascular genetics	2008 Dec	Pathophysiology	Human	102	
161	18678305	No	" Wilfried Mullens, W H Wilson Tang"	Gender differences in patients admitted with advanced decompensated heart failure.	The American journal of cardiology	2008 Aug 15	Outcomes	Human	278	
162	18550865	No	" Krystyna M Shioura, Paul H Goldspink"	Sex-related changes in cardiac function following myocardial infarction in mice.	"American journal of physiology. Regulatory, integrative and comparative physiology"	2008 Aug	Pathophysiology	Mouse	na	
163	18303083	No	" Georges E Haddad, Judith K Gwathmey"	Human cardiac-specific cDNA array for idiopathic dilated cardiomyopathy: sex-related differences.	Physiological genomics	2008 Apr 22	Pathophysiology	Human	na	
164	18359324	No	" Laura R Loehr, Lloyd E Chambless"	Heart failure incidence and survival (from the Atherosclerosis Risk in Communities study).	The American journal of cardiology	2008 Apr 1	Epidemiology	Human	198417	
165	18402544	Yes	" Jalal K Ghali, JoAnn Lindenfeld"	Sex differences in response to chronic heart failure therapies.	Expert review of cardiovascular therapy	2008 Apr	Review	Human	na	
166	18338962	No	" Marit Mejhert, Hans Erik Persson"	Sex differences in systolic heart failure in the elderly: the prognostic importance of left ventricular mass in women.	Journal of women's health (2002)	2008 Apr	Management	Human	158	
167	18338965	No	" Stephanie A K Stock, Karl W Lauterbach"	Sex differences in treatment patterns of six chronic diseases: an analysis from the German statutory health insurance.	Journal of women's health (2002)	2008 Apr	Management	Human	26000000	
168	18654099	No	" P de Groote, C Bauters"	No gender survival difference in a population of patients with chronic heart failure related to left ventricular systolic dysfunction and receiving optimal medical therapy.	Archives of cardiovascular diseases	2008 Apr	Outcomes	Human	613	
169	18301870	Yes	" V Regitz-Zagrosek, H B Lehmkuhl"	Heart failure--are there gender aspects?	Der Internist	2008 Apr	Review	Human	na	
170	18373766	No	" Jamshid Alaeddini, Kenneth A Ellenbogen"	Gender disparity in the use of cardiac resynchronization therapy in the United States.	Pacing and clinical electrophysiology : PACE	2008 Apr	Management	Human	na	
171	18607520	Yes	" Annika Rosengren, Paul Hauptman"	"Women, men and heart failure: a review."	Heart failure monitor	2008	Review	Human	na	
172	17719309	No	" Peter R Mitoff, Susanna Mak"	Sex differences in basal hemodynamics and left ventricular function in humans with and without heart failure.	American heart journal	2007 Sep	Pathophysiology	Human	107	
173	17911497	No	" Adrian F Hernandez, Eric D Peterson"	Sex and racial differences in the use of implantable cardioverter-defibrillators among patients hospitalized with heart failure.	JAMA : the journal of the American Medical Association	2007 Oct 3	Management	Human	13034	
174	17911496	No	" Lesley H Curtis, Kevin A Schulman"	Sex differences in the use of implantable cardioverter-defibrillators for primary and secondary prevention of sudden cardiac death.	JAMA : the journal of the American Medical Association	2007 Oct 3	Management	Human	236084	
175	17660002	No	" Hermann Faller, Christiane E Angermann"	Depression and survival in chronic heart failure: does gender play a role?	European journal of heart failure : journal of the Working Group on Heart Failure of the European Society of Cardiology	2007 Oct	Outcomes	Human	231	
176	17976098	No	" Alessio Lilli, Luigi Padeletti"	Cardiac resynchronization therapy: gender related differences in left ventricular reverse remodeling.	Pacing and clinical electrophysiology : PACE	2007 Nov	Management	Human	334	
177	17487289	No	" Stefanie Houde, Anique Ducharme"	"Are there sex-related differences in specialized, multidisciplinary congestive heart failure clinics?"	The Canadian journal of cardiology	2007 May 1	Management	Human	765	
178	17446456	No	" Shao-Kui Wei, Mark C P Haigney"	Gender differences in Na/Ca exchanger current and beta-adrenergic responsiveness in heart failure in pig myocytes.	Annals of the New York Academy of Sciences	2007 Mar	Pathophysiology	Pig	na	
179	17383932	No	" Marie Hudson, Louise Pilote"	Sex differences in the effectiveness of angiotensin receptor blockers and angiotensin converting enzyme inhibitors in patients with congestive heart failure--a population study.	European journal of heart failure : journal of the Working Group on Heart Failure of the European Society of Cardiology	2007 Jun-Jul	Management	Human	19698	
180	17347035	No	" Marie Louise Luttik, Dirk J van Veldhuisen"	Caregiver burden in partners of Heart Failure patients	 limited influence of disease severity.	European journal of heart failure : journal of the Working Group on Heart Failure of the European Society of Cardiology	2007 Jun-Jul	Outcomes	Human	357
181	17562954	No	" Minoru Satoh, James K Liao"	Inhibition of apoptosis-regulated signaling kinase-1 and prevention of congestive heart failure by estrogen.	Circulation	2007 Jun 26	Pathophysiology	Mouse	na	
182	17562950	No	" Eileen O'Meara,Collective=CHARM Investigators"	Sex differences in clinical characteristics and prognosis in a broad spectrum of patients with heart failure: results of the Candesartan in Heart failure: Assessment of Reduction in Mortality and morbidity (CHARM) program.	Circulation	2007 Jun 19	Outcomes	Human	7599	
183	16919502	No	" Seongkum Heo, Jeanne Widener"	Gender differences in the effects of physical and emotional symptoms on health-related quality of life in patients with heart failure.	European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology	2007 Jun	Outcomes	Human	98	
184	16928469	No	" Marie Holst, Anna Strömberg"	Telephone follow-up of self-care behaviour after a single session education of patients with heart failure in primary health care.	European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology	2007 Jun	Management	Human	60	
185	17877207	Yes	" E Lehmkuhl, V Regitz-Zagrosek"	Implications of gender-specific aspects in the therapy of cardiovascular diseases	Therapeutische Umschau. Revue thérapeutique	2007 Jun	Review	Human	na	
186	17470718	No	" Torbjørn Omland,"	Plasma osteoprotegerin levels in the general population: relation to indices of left ventricular structure and function.	Hypertension	2007 Jun	Clinical	Human	2715	
187	17587703	No	" Yuji Okura, Yoshifusa Aizawa"	Characterization of outpatients with systolic dysfunction in a Japanese community by total enumeration.	Circulation journal : official journal of the Japanese Circulation Society	2007 Jul	Epidemiology	Human	497	
188	17185111	Yes	" Hidekatsu Fukuta, William C Little"	Contribution of systolic and diastolic abnormalities to heart failure with a normal and a reduced ejection fraction.	Progress in cardiovascular diseases	2007 Jan-Feb	Review	Human	na	
189	17185112	Yes	" Vera Regitz-Zagrosek, Carsten Tschope"	Role of gender in heart failure with normal left ventricular ejection fraction.	Progress in cardiovascular diseases	2007 Jan-Feb	Review	Human	na	
190	17266610	Yes	" Virginia M Miller, Joseph P McConnell"	Use of BNP and CRP as biomarkers in assessing cardiovascular disease: diagnosis versus risk.	Current vascular pharmacology	2007 Jan	Review	Human	na	
191	17008460	No	" Rebecca E Petre, Kenneth B Margulies"	Sex-based differences in myocardial contractile reserve.	"American journal of physiology. Regulatory, integrative and comparative physiology"	2007 Feb	Pathophysiology	Cat	na	
192	17488764	No	" Ali Ahmed, Louis J Dell'Italia"	A propensity-matched study of the effect of diabetes on the natural history of heart failure: variations by sex and age.	Heart (British Cardiac Society)	2007 Dec	Outcomes	Human	7788	
193	17675059	No	" Urban Alehagen, Ulf Dahlström"	Natriuretic peptide biomarkers as information indicators in elderly patients with possible heart failure followed over six years: a head-to-head comparison of four cardiac natriuretic peptides.	Journal of cardiac failure	2007 Aug	Management	Human	415	
194	17397674	No	" Camille G Frazier, Pamela S Douglas"	Associations of gender and etiology with outcomes in heart failure with systolic dysfunction: a pooled analysis of 5 randomized control trials.	Journal of the American College of Cardiology	2007 Apr 3	Outcomes	Human	11642	
195	17064798	No	" Austin Chin Chwan Ng, Andrew Paul Sindone"	Impact of gender on outcomes in chronic systolic heart failure.	International journal of cardiology	2007 Apr 25	Epidemiology	Human	168	
196	17453538	No	" Yuval Konstantino, Moti Haim"	Gender differences in mortality after acute myocardial infarction with mild to moderate heart failure.	Acute cardiac care	2007	Outcomes	Human	3456	
197	17378518	No	" Brenda Paton, Lorraine Thirsk"	Recalibrating time and space: women's challenges of living with heart failure.	Canadian journal of cardiovascular nursing 	2007	Management	Human	na	
198	16946601	No	" Mona Olofsson, Kurt Boman"	Are elderly patients with suspected HF misdiagnosed? A primary health care center study.	Cardiology	2007	Clinical	Human	170	
199	16950198	No	" Jonathan N Bella, Richard B Devereux"	Gender differences in left ventricular systolic function in American Indians (from the Strong Heart Study).	The American journal of cardiology	2006 Sep 15	Pathophysiology	Human	1351	
200	16760689	No	" Genevieve Smith, Bindu Viswanathan"	Gender differences in implantable cardioverter-defibrillator patients at the time of insertion.	Progress in cardiovascular nursing	2006 Season=Spring	Management	Human	240	
201	17045182	No	" Misook L Chung, Deborah S Armentano"	Gender differences in adherence to the sodium-restricted diet in patients with heart failure.	Journal of cardiac failure	2006 Oct	Management	Human	68	
202	17053376	Yes	" Michael J Yarnoz, Anne B Curtis"	Sex-based differences in cardiac resynchronization therapy and implantable cardioverter defibrillator therapies: effectiveness and use.	Cardiology in review	2006 Nov-Dec	Review	Human	na	
203	17084254	No	" Michael Christ, Christian Mueller"	Gender-specific risk stratification with B-type natriuretic peptide levels in patients with acute dyspnea: insights from the B-type natriuretic peptide for acute shortness of breath evaluation study.	Journal of the American College of Cardiology	2006 Nov 7	Management	Human	452	
204	16876238	No	" Cornelia H M van Jaarsveld,"	Gender-specific risk factors for mortality associated with incident coronary heart disease--a prospective community-based study.	Preventive medicine	2006 Nov	Outcomes	Human	472	
205	16741854	No	" Myriam Ritter, Christian Mueller"	Gender differences in acute congestive heart failure.	"Swiss medical weekly : official journal of the Swiss Society of Infectious Diseases, the Swiss Society of Internal Medicine, the Swiss Society of Pneumology"	2006 May 13	Outcomes	Human	217	
206	16784070	No	" Marie-Claude Drolet, Marie Arsenault"	Gender-related differences in left ventricular remodeling in chronic severe aortic valve regurgitation in rats.	The Journal of heart valve disease	2006 May	Pathophysiology	Rat	na	
207	16638521	No	" Rosaly Correa-de-Araujo, Kelly McDermott"	Gender differences across racial and ethnic groups in the quality of care for acute myocardial infarction and heart failure associated with comorbidities.	Women's health issues : official publication of the Jacobs Institute of Women's Health	2006 Mar-Apr	Management	Human	na	
208	16520256	No	" Marie Galvao, Robert M Moskowitz"	Gender differences in in-hospital management and outcomes in patients with decompensated heart failure: analysis from the Acute Decompensated Heart Failure National Registry (ADHERE).	Journal of cardiac failure	2006 Mar	Management	Human	105388	
209	16788330	Yes	" Lauren D Gold, Harlan M Krumholz"	Gender differences in treatment of heart failure and acute myocardial infarction: a question of quality or epidemiology?	Cardiology in review	2006 Jul-Aug	Review	Human	na	
210	16767433	No	" Nezihi Baris, Hulya Guven"	Influence of carvedilol on serum digoxin levels in heart failure: is there any gender difference?	European journal of clinical pharmacology	2006 Jul	Pathophysiology	Human	24	
211	16509025	No	" Lois S Lee, Lingtak-Neander Chan"	Evaluation of a sex-based difference in the pharmacokinetics of digoxin.	Pharmacotherapy	2006 Jan	Management	Human	67	
212	16469469	No	" Anna Strömberg, Bengt Fridlund"	"Computer-based education for patients with chronic heart failure. A randomised, controlled, multicentre trial of the effects on knowledge, compliance and quality of life."	Patient education and counseling	2006 Dec	Outcomes	Human	154	
213	16616031	No	" Anita Deswal, Biykem Bozkurt"	Comparison of morbidity in women versus men with heart failure and preserved ejection fraction.	The American journal of cardiology	2006 Apr 15	Outcomes	Human	719	
214	16817045	No	" Andreja Sinkovic, Franc Svensek"	Women and men with unstable angina and/or non-ST-elevation myocardial infarction.	Wiener klinische Wochenschrift	2006	Epidemiology	Human	139	
215	16485629	No	" Marie Galvao,"	Reshaping our perception of the typical hospitalized heart failure patient: a gender analysis of data from the ADHERE Heart Failure Registry.	The Journal of cardiovascular nursing	2005 Nov-Dec	Clinical	Human	85617	
216	16290968	No	" Jimmy G Lim, Kerry J Stewart"	Sex differences in left ventricular function in older persons with mild hypertension.	American heart journal	2005 Nov	Outcomes	Human	107	
217	16394606	No	" Arie O Verkerk,"	Gender disparities in cardiac cellular electrophysiology and arrhythmia susceptibility in human failing ventricular myocytes.	International heart journal	2005 Nov	Pathophysiology	Human		
218	15947533	No	" Marshal T Fox, Ulrich P Jorde"	"Anemia, chronic heart failure, and the impact of male vs. female gender."	"Congestive heart failure (Greenwich, Conn.)"	2005 May-Jun	Clinical	Human	260	
219	15865858	Yes	 Mary Norine Walsh	Advanced heart failure and transplantation in women.	Current cardiology reports	2005 May	Review	Human	na	
220	15761458	No	" Karen J Radke, Deborah H Eldredge"	Hormonal responses to the 6-minute walk test in women and men with coronary heart disease: a pilot study.	Heart & lung : the journal of critical care	2005 Mar-Apr	Pathophysiology	Human	18	
221	15860970	No	" Chanwit Roongsritong,"	Brain natriuretic peptide and diastolic dysfunction in the elderly: influence of gender.	"Congestive heart failure (Greenwich, Conn.)"	2005 Mar-Apr	Clinical	Human	na	
222	15904882	No	" Inger Ekman, Karl Swedberg"	Gender makes a difference in the description of dyspnoea in patients with chronic heart failure.	European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology	2005 Jun	Clinical	Human	158	
223	15660043	No	" Saif S Rathore, Harlan M Krumholz"	"Sex, quality of care, and outcomes of elderly patients hospitalized with heart failure: findings from the National Heart Failure Project."	American heart journal	2005 Jan	Management	Human	30996	
224	15374829	No	" Maryanne Skavdahl, Elizabeth Murphy"	Estrogen receptor-beta mediates male-female differences in the development of pressure overload hypertrophy.	American journal of physiology. Heart and circulatory physiology	2005 Feb	Pathophysiology	Mouse	na	
225	15496965	No	" H Kanda,"	What factors are associated with high plasma B-type natriuretic peptide levels in a general Japanese population?	Journal of human hypertension	2005 Feb	Clinical	Human	686	
226	16403158	No	" Gabe B Bleeker, Jeroen J Bax"	Does a gender difference in response to cardiac resynchronization therapy exist?	Pacing and clinical electrophysiology : PACE	2005 Dec	Outcomes	Human	173	
227	16087134	No	" Salvador Altimir, Vicente Valle"	Sex and age differences in fragility in a heart failure population.	European journal of heart failure : journal of the Working Group on Heart Failure of the European Society of Cardiology	2005 Aug	Outcomes	Human	na	
228	16132238	Yes	" Vera Regitz-Zagrosek,"	"Heart failure and its treatment in women. Role of hypertension, diabetes, and estrogen."	Herz	2005 Aug	Review	Human		
229	15792839	No	" Sang Hui Chu, Dorie Schwertz"	Sex differences in expression of calcium-handling proteins and beta-adrenergic receptors in rat heart ventricle.	Life sciences	2005 Apr 22	Pathophysiology	Human	na	
230	15464434	No	" Christopher B Stefanelli, Mark W Russell"	Novel troponin T mutation in familial dilated cardiomyopathy with gender-dependant severity.	Molecular genetics and metabolism	2004 Sep-Oct	Pathophysiology	Human	na	
231	15521484	Yes	" V Regitz-Zagrosek, R Hetzer"	Gender aspects in heart failure. Pathophysiology and medical therapy.	Archives des maladies du coeur et des vaisseaux	2004 Sep	Review	Human	na	
232	15542416	No	" Natan Cohen, Oleg Gorelik"	Sex-related bedside clinical variables associated with survival of older inpatients with heart failure.	European journal of heart failure : journal of the Working Group on Heart Failure of the European Society of Cardiology	2004 Oct	Outcomes	Human	362	
233	15602332	No	" Mary Beth Schall, Jeanne Flannery"	Undertreatment of women with heart failure: a reversible outcome on hospital readmission.	Lippincott's case management : managing the process of patient care	2004 Nov-Dec	Management	Human	na	
234	15007028	No	" Ramachandran S Vasan, Peter W F Wilson"	Relations of serum aldosterone to cardiac structure: gender-related differences in the Framingham Heart Study.	Hypertension	2004 May	Pathophysiology	Human	2820	
235	15265849	No	" VÃ©ronique L Roger,"	Trends in heart failure incidence and survival in a community-based population.	JAMA : the journal of the American Medical Association	2004 Jul 21	Epidemiology	Human	4537	
236	15487266	Yes	" Giuseppe G L Biondi-Zoccai, Antonio Abbate"	"Female gender, myocardial remodeling and cardiac failure: are women protected from increased myocardiocyte apoptosis?"	Italian heart journal : official journal of the Italian Federation of Cardiology	2004 Jul	Review	Human	na	
237	15229360	No	" Sonhee C Park, M Judith Radin"	Effect of male sex and obesity on platelet arachidonic acid in spontaneous hypertensive heart failure rats.	"Experimental biology and medicine (Maywood, N.J.)"	2004 Jul	Pathophysiology	Rat	na	
238	14691422	No	" Todd M Koelling,"	The expanding national burden of heart failure in the United States: the influence of heart failure in women.	American heart journal	2004 Jan	Epidemiology	Human		
239	14592959	No	" Yuhao Li, Kazuwa Nakao"	Androgen contributes to gender-related cardiac hypertrophy and fibrosis in mice lacking the gene encoding guanylyl cyclase-A.	Endocrinology	2004 Feb	Pathophysiology	Mouse	na	
240	15516863	Yes	 Jalal K Ghali	Sex-related differences in heart failure and beta-blockers.	Heart failure reviews	2004 Apr	Review	Human	na	
241	15460834	No	" Jo-Anne Costello, Sheryl Boblin"	What is the experience of men and women with congestive heart failure?	Canadian journal of cardiovascular nursing 	2004	Outcomes	Human	na	
242	14528189	No	 Maureen M Friedman	Gender differences in the health related quality of life of older adults with heart failure.	Heart & lung : the journal of critical care	2003 Sep-Oct	Outcomes	Human	138	
243	12933684	No	" Xiao-Ming Gao, Xiao-Jun Du"	Sex hormones and cardiomyopathic phenotype induced by cardiac beta 2-adrenergic receptor overexpression.	Endocrinology	2003 Sep	Pathophysiology	Mouse	na	
244	14622629	No	" Lena Nordgren, Stefan Sörensen"	Symptoms experienced in the last six months of life in patients with end-stage heart failure.	European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology	2003 Sep	Outcomes	Human	na	
245	14575309	No	" Gregory L Brower, Joseph S Janicki"	Gender mediated cardiac protection from adverse ventricular remodeling is abolished by ovariectomy.	Molecular and cellular biochemistry	2003 Sep	Pathophysiology	Rat	na	
246	14580303	Yes	" Ileana L P?na, Carol Buchter"	Heart failure in women.	Cardiology in review	2003 Nov-Dec	Review	Human	na	
247	14613741	No	" Manuel Martínez-Sellés, Jesus Almendral"	Systolic dysfunction is a predictor of long term mortality in men but not in women with heart failure.	European heart journal	2003 Nov	Outcomes	Human	1065	
248	12691635	Yes	" Bobbi L Hoppe, Denise D Hermann"	Sex differences in the causes and natural history of heart failure.	Current cardiology reports	2003 May	Review	Human	na	
249	12812268	No	" Michele Emdin,"	Influence of gender on circulating cardiac natriuretic hormones in patients with heart failure.	Clinical chemistry and laboratory medicine : CCLM / FESCC	2003 May	Clinical	Human	239	
250	12601168	No	" Kenneth R Boheler, Edward G Lakatta"	Sex- and age-dependent human transcriptome variability: implications for chronic heart failure.	Proceedings of the National Academy of Sciences of the United States of America	2003 Mar 4	Pathophysiology	Human	38	
251	14993426	Yes	" Mordecai P Blaustein, John M Hamlyn"	"Sex, digitalis, and the sodium pump."	Molecular interventions	2003 Mar	Review	Human	na	
252	12578819	No	" Andrzej M Janczewski, Arthur M Feldman"	Morphological and functional changes in cardiac myocytes isolated from mice overexpressing TNF-alpha.	American journal of physiology. Heart and circulatory physiology	2003 Mar	Pathophysiology	Mouse	na	
253	12551870	No	" Martin K Rutter, Ramachandran S Vasan"	Impact of glucose intolerance and insulin resistance on cardiac structure and function: sex-related differences in the Framingham Heart Study.	Circulation	2003 Jan 28	Pathophysiology	Human	2623	
254	12535826	No	" Deborah L Crabbe, Kenneth B Margulies"	Gender differences in post-infarction hypertrophy in end-stage failing hearts.	Journal of the American College of Cardiology	2003 Jan 15	Pathophysiology	Human	100	
255	12690915	Yes	" Cristina Opasich, Stefania De Feo"	Current perspectives. Heart failure woman: does she make any difference?	Italian heart journal : official journal of the Italian Federation of Cardiology	2003 Jan	Review	Human	na	
256	12560412	No	" Said A Ibrahim, C Kent Kwoh"	Elderly hospitalized patients with diastolic heart failure: lack of gender and ethnic differences in 18-month mortality rates.	"The journals of gerontology. Series A, Biological sciences and medical sciences"	2003 Jan	Outcomes	Human	1058	
257	12612872	No	" Barbara Riegel, Nancy Albert"	Gender differences in quality of life are minimal in patients with heart failure.	Journal of cardiac failure	2003 Feb	Outcomes	Human	640	
258	14680739	No	" Jalal K Ghali, JoAnn Lindenfeld"	Gender differences in advanced heart failure: insights from the BEST study.	Journal of the American College of Cardiology	2003 Dec 17	Outcomes	Human	2708	
259	12909610	No	" E H Schlenker, A M Gerdes"	Gender-specific effects of thyroid hormones on cardiopulmonary function in SHHF rats.	"Journal of applied physiology (Bethesda, Md. : 1985)"	2003 Dec	Pathophysiology	Rat	na	
260	12932609	No	" Russell J O'Brien, Leong L Ng"	Myotrophin in human heart failure.	Journal of the American College of Cardiology	2003 Aug 20	Pathophysiology	Human	250	
261	12860859	No	" T P Ng, M Niti"	"Trends and ethnic differences in hospital admissions and mortality for congestive heart failure in the elderly in Singapore, 1991 to 1998."	Heart (British Cardiac Society)	2003 Aug	Epidemiology	Human	na	
262	14564974	Yes	" Stefania De Feo, Cristina Opasich"	Comparison of the outcome in men and women with chronic heart failure.	Italian heart journal : official journal of the Italian Federation of Cardiology	2003 Aug	Review	Human	na	
263	12881450	No	" Urban Alehagen, Ulf Dahlström"	Utility of the amino-terminal fragment of pro-brain natriuretic peptide in plasma for the evaluation of cardiac dysfunction in elderly patients in primary health care.	Clinical chemistry	2003 Aug	Clinical	Human	415	
264	12875986	No	" Annica Pontén, Ulf Eriksson"	"Transgenic overexpression of platelet-derived growth factor-C in the mouse heart induces cardiac fibrosis, hypertrophy, and dilated cardiomyopathy."	The American journal of pathology	2003 Aug	Pathophysiology	Mouse	na	
265	14622644	Yes	" Anna Strömberg, Jan Mårtensson"	Gender differences in patients with heart failure.	European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology	2003 Apr	Review	Human	na	
